Species,Pond_Area,Soil_Type,Water_Source,Season,Recommended_Stocking,Survival_Rate
Banana Prawn,2.01,Clay,Borewell,Monsoon,28898,73.82
Pangasius,3.54,Loamy,River,Monsoon,32978,78.4
Catfish,0.85,Sandy,Borewell,Summer,12229,72.93
Tiger Prawn,4.03,Loamy,Canal,Summer,8640,83.6
Mud Crab,1.84,Sandy,River,Monsoon,21822,88.49
Vannamei,2.66,Loamy,Borewell,Monsoon,46545,70.21
Vannamei,3.57,Loamy,Canal,Summer,39286,73.42
Trout,2.6,Loamy,River,Winter,41129,89.76
Tiger Prawn,1.36,Clay,Canal,Monsoon,41469,84.04
Salmon,4.51,Sandy,Canal,Monsoon,8755,91.17
Rohu,2.64,Clay,River,Monsoon,12733,87.46
Seabass,1.64,Sandy,Borewell,Winter,48205,91.05
Soft Shell Crab,4.72,Clay,Borewell,Summer,21354,71.32
Whiteleg Shrimp,4.68,Sandy,River,Winter,24347,74.61
Snow Crab,3.09,Clay,Canal,Summer,39457,85.82
King Crab,3.64,Sandy,River,Monsoon,2663,79.98
Seabass,2.39,Loamy,River,Summer,22159,89.99
Snow Crab,0.66,Loamy,Borewell,Winter,24714,80.7
Milkfish,2.22,Loamy,Borewell,Winter,43488,82.91
Mud Crab,0.58,Loamy,Borewell,Summer,45770,82.22
Dungeness Crab,4.05,Sandy,Canal,Winter,19106,75.61
Catfish,1.26,Clay,Borewell,Summer,28188,90.59
Snapper,1.62,Clay,Borewell,Monsoon,8305,75.79
Rohu,1.35,Loamy,River,Winter,14539,85.35
Banana Prawn,4.54,Loamy,Borewell,Summer,14764,70.22
Pangasius,4.67,Sandy,Borewell,Winter,10171,77.31
Dungeness Crab,1.38,Loamy,Borewell,Winter,46241,78.75
Salmon,1.25,Loamy,River,Monsoon,11111,94.94
Vannamei,1.57,Loamy,Borewell,Monsoon,47896,79.72
Mud Crab,3.12,Clay,Canal,Summer,38106,76.82
Whiteleg Shrimp,4.74,Clay,Borewell,Winter,23694,78.59
King Crab,0.62,Loamy,Canal,Winter,32330,84.6
Salmon,2.69,Sandy,Canal,Winter,44602,86.17
Tiger Prawn,3.76,Loamy,Borewell,Monsoon,45219,71.19
King Crab,1.74,Clay,Borewell,Monsoon,41592,93.29
Whiteleg Shrimp,1.25,Sandy,Canal,Monsoon,29377,73.1
Milkfish,3.83,Loamy,Borewell,Winter,28681,70.99
Black Tiger Shrimp,2.06,Loamy,River,Summer,26789,94.78
Freshwater Prawn,4.13,Loamy,River,Summer,20029,71.88
King Prawn,4.83,Sandy,Borewell,Summer,6651,72.02
Rohu,2.12,Clay,Canal,Summer,20553,77.16
Carp,3.13,Clay,River,Monsoon,25620,88.94
Blue Swimmer Crab,0.51,Sandy,Borewell,Summer,22219,74.99
Snow Crab,0.99,Loamy,Canal,Summer,38926,77.15
Dungeness Crab,3.38,Clay,Canal,Monsoon,4188,73.01
Salmon,1.23,Loamy,Borewell,Summer,25353,73.22
Carp,1.98,Loamy,River,Monsoon,24828,86.7
Grouper,2.38,Sandy,Borewell,Summer,10680,74.31
Barramundi,2.57,Sandy,Borewell,Summer,3187,87.41
Snapper,3.21,Loamy,Borewell,Winter,46946,71.77
Whiteleg Shrimp,1.38,Clay,Borewell,Summer,6727,73.53
Carp,1.76,Sandy,Canal,Summer,31504,83.2
King Prawn,1.97,Loamy,River,Winter,20611,77.68
Salmon,3.42,Sandy,Canal,Summer,26846,75.85
Snapper,2.06,Sandy,River,Winter,7515,84.61
Seabass,1.24,Sandy,Canal,Monsoon,8332,70.44
Soft Shell Crab,1.23,Clay,Canal,Monsoon,39533,81.45
Barramundi,1.81,Loamy,River,Summer,32780,75.84
Tuna,2.36,Sandy,Borewell,Monsoon,3783,89.84
Soft Shell Crab,2.69,Loamy,Canal,Monsoon,3022,84.05
Soft Shell Crab,1.68,Clay,Borewell,Winter,43804,82.89
Barramundi,3.07,Sandy,River,Winter,5432,74.01
Soft Shell Crab,3.8,Clay,Canal,Monsoon,30256,92.2
Vannamei,3.02,Loamy,Canal,Summer,22274,76.54
King Prawn,4.22,Clay,Borewell,Summer,11602,85.91
Tuna,3.87,Loamy,River,Summer,3133,93.93
Tilapia,1.81,Loamy,Borewell,Summer,7319,84.45
Tiger Prawn,1.88,Clay,River,Monsoon,29208,73.11
Snapper,0.5,Sandy,Canal,Summer,17963,81.39
Black Tiger Shrimp,1.09,Sandy,River,Monsoon,24966,82.64
Mud Crab,1.91,Sandy,Canal,Winter,9394,74.0
Tilapia,1.13,Clay,River,Winter,27310,78.99
Seabass,2.21,Sandy,Borewell,Winter,37727,89.83
Trout,4.32,Sandy,Borewell,Monsoon,24589,88.75
Black Tiger Shrimp,0.63,Loamy,Borewell,Summer,10356,92.78
Rohu,1.89,Loamy,River,Winter,11713,77.18
Rohu,2.29,Clay,Canal,Monsoon,20046,86.36
Blue Swimmer Crab,1.77,Loamy,River,Winter,4061,93.09
Soft Shell Crab,0.92,Loamy,Borewell,Winter,45068,76.3
Black Tiger Shrimp,4.23,Clay,Borewell,Monsoon,42158,80.34
King Crab,2.04,Clay,Canal,Monsoon,10255,93.11
Soft Shell Crab,2.43,Clay,Canal,Summer,4192,74.14
Barramundi,2.55,Loamy,Borewell,Monsoon,47133,77.25
Seabass,3.52,Clay,Borewell,Monsoon,26492,92.42
Grouper,3.58,Loamy,Borewell,Winter,31538,71.76
King Crab,1.67,Sandy,Canal,Summer,11928,83.3
Catfish,4.07,Loamy,River,Monsoon,35583,90.59
Catfish,1.76,Sandy,Borewell,Monsoon,33768,85.89
King Crab,1.39,Loamy,Canal,Winter,35477,70.41
Black Tiger Shrimp,3.8,Clay,River,Winter,12842,76.63
Milkfish,4.0,Sandy,Canal,Summer,9960,93.91
Banana Prawn,2.2,Loamy,Canal,Winter,19084,70.23
King Crab,3.51,Sandy,Canal,Summer,26669,79.19
Grouper,0.58,Clay,Borewell,Winter,29253,75.98
King Crab,2.24,Sandy,Borewell,Winter,36777,82.31
Pangasius,2.66,Sandy,Canal,Summer,24938,85.87
Mud Crab,1.31,Clay,Canal,Winter,36757,80.68
Seabass,3.64,Loamy,River,Monsoon,12349,75.32
Rohu,4.7,Clay,River,Monsoon,48902,91.69
Seabass,4.63,Loamy,River,Winter,13489,84.3
Freshwater Prawn,2.2,Sandy,Borewell,Monsoon,10371,84.62
Grouper,5.0,Loamy,Canal,Summer,26647,84.68
Tuna,3.23,Sandy,River,Winter,42531,81.8
Carp,2.64,Loamy,Borewell,Summer,21091,84.48
Tuna,4.48,Sandy,Canal,Monsoon,42920,72.01
Catfish,2.6,Sandy,River,Winter,44747,80.75
Rohu,4.91,Loamy,Canal,Monsoon,29876,91.65
Blue Swimmer Crab,2.88,Sandy,River,Winter,30533,74.44
Soft Shell Crab,4.15,Clay,Canal,Monsoon,3437,84.68
Seabass,2.64,Loamy,Borewell,Summer,13979,90.64
Mud Crab,4.61,Sandy,Canal,Winter,16991,94.86
Catfish,1.87,Clay,Canal,Monsoon,2004,94.74
Blue Swimmer Crab,3.05,Clay,River,Monsoon,40895,92.34
Snapper,4.23,Clay,River,Monsoon,10353,84.11
Catfish,4.79,Sandy,Canal,Winter,34894,79.36
Rohu,0.73,Clay,Borewell,Monsoon,7546,81.86
Grouper,4.85,Sandy,River,Summer,4077,83.31
Tilapia,1.45,Sandy,River,Winter,25848,94.05
Black Tiger Shrimp,3.56,Sandy,Borewell,Winter,19242,87.81
Catfish,1.89,Loamy,Borewell,Monsoon,16662,74.31
Dungeness Crab,4.45,Sandy,Borewell,Winter,46402,86.41
Cod,0.56,Sandy,Borewell,Summer,42643,94.12
Tilapia,0.61,Loamy,River,Winter,21891,81.48
Tilapia,2.14,Clay,Canal,Monsoon,34522,85.24
Barramundi,3.42,Clay,Borewell,Winter,46856,90.05
Tiger Prawn,2.23,Loamy,Canal,Monsoon,38406,83.98
Grouper,2.26,Sandy,River,Winter,16908,85.52
Tiger Prawn,3.94,Loamy,Canal,Summer,24782,75.56
Tuna,4.18,Sandy,River,Winter,4716,72.88
Black Tiger Shrimp,2.4,Loamy,Borewell,Winter,44916,74.11
Pangasius,2.98,Clay,River,Monsoon,27000,74.8
Soft Shell Crab,3.32,Loamy,Borewell,Winter,7365,79.28
Tilapia,0.71,Clay,Canal,Monsoon,40090,84.01
Tuna,4.65,Sandy,Canal,Winter,32366,84.32
Cod,1.96,Clay,River,Monsoon,43243,80.96
Mud Crab,0.78,Loamy,Canal,Monsoon,3322,78.09
Seabass,2.68,Loamy,River,Summer,25185,71.33
King Crab,3.38,Loamy,Canal,Winter,19875,94.08
Cod,2.55,Sandy,Canal,Winter,32589,87.07
King Crab,3.81,Loamy,River,Monsoon,7112,75.85
Banana Prawn,2.45,Sandy,River,Winter,8854,78.33
Mud Crab,2.93,Loamy,Canal,Monsoon,38658,81.61
Freshwater Prawn,0.77,Clay,Canal,Monsoon,43850,85.54
Black Tiger Shrimp,4.47,Sandy,Borewell,Winter,34994,77.2
Milkfish,3.07,Loamy,Borewell,Summer,30716,77.38
Snow Crab,0.84,Sandy,River,Winter,16215,81.42
Mud Crab,4.9,Sandy,Canal,Summer,20771,82.89
Mud Crab,2.05,Sandy,Borewell,Winter,37459,83.96
Rohu,4.47,Clay,Canal,Monsoon,25233,72.11
Snow Crab,0.58,Sandy,River,Monsoon,33109,74.8
Rohu,2.19,Sandy,River,Monsoon,30300,83.9
Snapper,3.28,Sandy,Canal,Winter,33970,76.17
Whiteleg Shrimp,4.52,Clay,River,Winter,49778,91.31
Seabass,4.34,Sandy,Borewell,Monsoon,17707,90.07
Catfish,0.65,Loamy,River,Monsoon,24650,78.88
Blue Swimmer Crab,4.58,Loamy,River,Winter,5857,71.87
Rohu,3.75,Clay,Borewell,Summer,23469,75.54
Blue Swimmer Crab,1.0,Loamy,Borewell,Winter,39668,73.43
Freshwater Prawn,1.97,Clay,Canal,Winter,24206,74.77
Grouper,1.9,Sandy,River,Summer,32613,85.51
Soft Shell Crab,2.09,Clay,Canal,Summer,26304,87.96
Barramundi,1.28,Sandy,River,Monsoon,12237,76.29
Trout,4.58,Sandy,Borewell,Winter,31800,89.55
King Crab,4.82,Loamy,Borewell,Summer,8990,79.45
Carp,4.69,Clay,Canal,Summer,6345,78.78
Pangasius,3.51,Sandy,River,Summer,20584,91.02
Grouper,3.51,Loamy,River,Summer,47809,88.55
Pangasius,4.95,Loamy,Canal,Monsoon,30883,90.65
Banana Prawn,4.5,Loamy,River,Winter,38807,73.21
Mud Crab,4.04,Sandy,River,Summer,35958,94.66
Trout,4.14,Loamy,Canal,Winter,23667,87.52
Banana Prawn,4.15,Clay,River,Winter,30765,92.67
Blue Swimmer Crab,3.07,Loamy,Canal,Summer,29948,86.65
Whiteleg Shrimp,1.9,Sandy,River,Monsoon,31369,73.5
Snow Crab,2.3,Clay,Canal,Monsoon,2154,71.06
Tiger Prawn,4.25,Sandy,Canal,Monsoon,27860,74.79
Seabass,0.99,Clay,Borewell,Summer,11221,84.01
Black Tiger Shrimp,1.29,Sandy,Borewell,Monsoon,42445,91.25
Tilapia,4.64,Loamy,River,Winter,43124,72.28
King Crab,4.16,Sandy,Canal,Winter,25736,74.97
Vannamei,2.91,Loamy,Canal,Summer,31955,72.27
Cod,1.82,Sandy,Canal,Winter,10066,90.62
Snow Crab,3.68,Sandy,Canal,Winter,29176,70.33
Blue Swimmer Crab,1.17,Clay,Borewell,Summer,32863,77.23
Dungeness Crab,4.16,Sandy,Borewell,Winter,14033,83.26
Black Tiger Shrimp,3.54,Clay,Canal,Winter,37332,94.51
Cod,1.63,Sandy,Canal,Monsoon,31696,93.02
Banana Prawn,3.04,Loamy,Borewell,Monsoon,31707,88.77
Whiteleg Shrimp,4.04,Sandy,Borewell,Summer,3012,77.36
Rohu,4.68,Loamy,Borewell,Summer,9119,82.75
Mud Crab,2.78,Loamy,River,Summer,40414,80.05
Carp,3.65,Loamy,River,Monsoon,10997,72.43
Snapper,4.48,Sandy,Borewell,Monsoon,21858,75.74
Catfish,3.54,Loamy,Canal,Summer,13255,92.18
Cod,4.3,Sandy,Canal,Summer,38174,70.99
Catfish,3.4,Sandy,Borewell,Winter,40894,71.27
Tuna,3.22,Sandy,River,Winter,20108,85.67
Seabass,0.76,Loamy,Borewell,Winter,4827,86.58
Carp,2.65,Loamy,Borewell,Monsoon,21920,79.18
Barramundi,3.32,Clay,River,Winter,45179,90.84
Rohu,3.44,Loamy,Canal,Monsoon,3133,74.76
Black Tiger Shrimp,3.26,Sandy,River,Monsoon,23298,85.98
King Crab,1.32,Loamy,Borewell,Monsoon,35429,85.15
Rohu,1.91,Loamy,Canal,Winter,24883,71.42
Banana Prawn,3.36,Clay,Canal,Winter,4877,71.57
Soft Shell Crab,4.53,Clay,River,Monsoon,15580,91.16
Banana Prawn,4.68,Sandy,Canal,Winter,42110,92.34
Cod,0.86,Loamy,River,Summer,39540,94.42
Snow Crab,1.92,Clay,Borewell,Summer,47095,74.19
Milkfish,1.98,Sandy,Borewell,Winter,35141,71.28
Snapper,4.15,Clay,Canal,Winter,22880,85.52
Black Tiger Shrimp,1.01,Clay,Canal,Monsoon,16077,85.01
King Crab,2.11,Loamy,Borewell,Winter,48621,72.95
Rohu,1.87,Loamy,Canal,Monsoon,13050,92.04
King Crab,4.1,Sandy,River,Monsoon,23441,92.9
Mud Crab,0.86,Loamy,River,Winter,46320,75.48
Rohu,4.17,Clay,River,Summer,26944,79.17
King Crab,3.25,Loamy,River,Monsoon,39502,78.26
Salmon,1.74,Loamy,Canal,Monsoon,27223,81.72
Tiger Prawn,3.81,Clay,River,Summer,37159,76.22
Black Tiger Shrimp,4.81,Clay,River,Winter,46563,85.75
Milkfish,3.88,Clay,River,Summer,44342,79.49
Dungeness Crab,4.55,Loamy,Canal,Monsoon,47059,89.13
King Crab,3.77,Sandy,River,Summer,14653,90.64
Tilapia,4.57,Clay,River,Monsoon,9685,72.64
Rohu,1.2,Sandy,River,Winter,24171,83.27
Milkfish,4.97,Loamy,Canal,Monsoon,47446,84.78
Freshwater Prawn,3.02,Loamy,River,Winter,7355,78.92
Grouper,1.92,Clay,Borewell,Winter,20155,94.7
Freshwater Prawn,3.7,Sandy,Borewell,Monsoon,22313,77.49
Soft Shell Crab,3.86,Sandy,River,Winter,27021,89.24
Carp,4.09,Sandy,Canal,Winter,49770,80.74
Whiteleg Shrimp,2.07,Clay,River,Monsoon,39685,76.3
King Crab,3.3,Loamy,Borewell,Monsoon,6133,72.07
King Crab,4.24,Clay,Canal,Winter,28810,70.99
Grouper,4.12,Loamy,Borewell,Monsoon,17132,83.85
Tiger Prawn,1.77,Sandy,River,Monsoon,36230,87.86
Pangasius,2.92,Loamy,Borewell,Summer,17792,77.56
Snapper,3.83,Sandy,River,Summer,45293,89.07
Grouper,1.74,Clay,Borewell,Winter,43130,76.24
Salmon,4.56,Sandy,River,Winter,38678,85.6
Seabass,2.9,Clay,Canal,Winter,38489,81.39
Banana Prawn,1.03,Loamy,Canal,Monsoon,16808,90.15
Pangasius,3.02,Sandy,Canal,Winter,47437,82.27
Catfish,1.61,Sandy,River,Winter,41223,89.93
Seabass,2.55,Sandy,River,Winter,42675,93.47
Vannamei,2.21,Sandy,Canal,Winter,49991,88.35
Whiteleg Shrimp,1.14,Clay,River,Monsoon,30652,92.79
Soft Shell Crab,3.34,Loamy,Canal,Monsoon,36421,79.93
Catfish,0.72,Clay,River,Summer,17092,72.1
Blue Swimmer Crab,4.96,Loamy,Canal,Winter,27068,73.45
Whiteleg Shrimp,4.22,Clay,Borewell,Winter,39826,71.22
Catfish,2.6,Sandy,Canal,Winter,24665,86.36
Seabass,2.68,Clay,Canal,Winter,19360,78.56
Salmon,3.45,Sandy,Borewell,Winter,5792,89.14
Whiteleg Shrimp,3.23,Clay,River,Winter,4371,93.07
Whiteleg Shrimp,1.09,Sandy,Canal,Winter,33433,85.43
Soft Shell Crab,3.83,Sandy,Canal,Winter,48291,80.36
Black Tiger Shrimp,1.85,Loamy,Borewell,Monsoon,43428,78.99
Catfish,4.8,Loamy,Canal,Summer,21924,77.96
Soft Shell Crab,0.68,Loamy,River,Monsoon,40443,76.03
Vannamei,3.15,Clay,River,Winter,21994,82.61
Catfish,0.74,Loamy,Canal,Monsoon,45401,89.26
King Prawn,3.07,Loamy,Canal,Monsoon,35857,91.12
Black Tiger Shrimp,3.4,Loamy,River,Winter,16812,80.16
Whiteleg Shrimp,2.19,Sandy,Canal,Winter,33587,84.77
Snapper,1.97,Loamy,River,Summer,10803,83.98
Soft Shell Crab,0.81,Loamy,Borewell,Summer,4202,83.9
Carp,4.01,Loamy,River,Summer,23964,70.19
Snapper,1.16,Loamy,Canal,Summer,30433,84.92
Catfish,1.18,Sandy,River,Summer,46161,92.82
Mud Crab,2.57,Clay,Canal,Summer,16797,87.02
Freshwater Prawn,1.1,Clay,Canal,Summer,39433,75.56
Tiger Prawn,3.47,Sandy,River,Monsoon,44248,94.64
Snow Crab,3.03,Clay,Canal,Winter,24872,86.09
Snapper,1.27,Loamy,Canal,Winter,7089,91.68
Carp,1.65,Sandy,River,Monsoon,30581,92.23
Tiger Prawn,4.15,Sandy,Canal,Summer,42562,94.77
Catfish,0.52,Clay,River,Monsoon,41011,72.53
Rohu,1.46,Clay,River,Monsoon,2299,74.55
Vannamei,2.81,Sandy,Canal,Monsoon,36494,74.88
Milkfish,1.82,Loamy,Canal,Winter,44995,70.37
Dungeness Crab,2.9,Clay,Borewell,Monsoon,19826,86.79
King Crab,4.07,Loamy,Canal,Winter,32775,71.6
Mud Crab,4.06,Sandy,Borewell,Monsoon,12041,87.69
Grouper,4.49,Loamy,River,Winter,41582,85.61
Dungeness Crab,3.08,Loamy,Borewell,Winter,22716,70.14
Barramundi,3.08,Loamy,Canal,Summer,10019,74.1
Vannamei,3.73,Sandy,Canal,Summer,19541,73.68
Seabass,2.11,Loamy,Borewell,Monsoon,43784,76.3
Snow Crab,2.05,Loamy,Borewell,Monsoon,26293,73.58
Pangasius,4.28,Loamy,River,Summer,20155,83.93
Blue Swimmer Crab,4.08,Loamy,Canal,Summer,17733,87.53
Soft Shell Crab,2.16,Sandy,Borewell,Winter,41406,76.04
King Prawn,4.86,Sandy,River,Winter,46656,89.67
Mud Crab,3.93,Loamy,Borewell,Monsoon,38206,78.23
Pangasius,4.6,Clay,Borewell,Summer,45961,94.12
Dungeness Crab,4.94,Clay,Borewell,Summer,31544,73.51
Seabass,0.55,Sandy,Borewell,Summer,7069,71.57
Freshwater Prawn,4.24,Clay,River,Winter,4178,78.41
Cod,4.44,Sandy,Canal,Winter,3250,84.34
Tilapia,2.62,Clay,River,Monsoon,6817,89.31
Snapper,1.98,Clay,River,Summer,30478,79.45
Tuna,2.59,Loamy,River,Monsoon,17059,77.31
Salmon,0.64,Loamy,Canal,Winter,15634,71.92
Dungeness Crab,2.48,Sandy,River,Monsoon,3114,76.85
Black Tiger Shrimp,2.59,Loamy,Borewell,Winter,26995,87.92
Freshwater Prawn,4.18,Sandy,Borewell,Summer,2007,73.78
Trout,1.83,Sandy,Canal,Winter,43414,74.62
Mud Crab,3.73,Loamy,Borewell,Winter,39400,91.04
Blue Swimmer Crab,2.04,Clay,Borewell,Winter,19160,93.34
Tuna,0.76,Loamy,Borewell,Winter,22416,71.58
Tiger Prawn,2.12,Loamy,Canal,Summer,9850,89.61
Cod,4.57,Loamy,Borewell,Summer,17129,75.71
Dungeness Crab,1.43,Sandy,River,Winter,46889,90.1
Trout,0.63,Clay,Borewell,Winter,36653,89.62
Tilapia,3.22,Loamy,Canal,Winter,42070,92.42
Tilapia,1.04,Loamy,River,Summer,45033,80.53
Barramundi,4.37,Clay,Canal,Winter,36202,72.65
Seabass,2.42,Sandy,Borewell,Winter,5276,92.24
Snapper,4.63,Sandy,River,Winter,8431,85.64
Salmon,4.26,Clay,River,Monsoon,33021,91.01
Vannamei,0.92,Sandy,Canal,Summer,33582,83.66
Whiteleg Shrimp,1.36,Sandy,Canal,Winter,48455,70.67
Blue Swimmer Crab,3.09,Loamy,Canal,Monsoon,11379,87.31
Banana Prawn,3.17,Sandy,River,Monsoon,19765,72.8
Banana Prawn,1.81,Sandy,Canal,Monsoon,48965,76.92
Pangasius,1.44,Sandy,Borewell,Monsoon,24702,79.0
Barramundi,2.36,Sandy,Canal,Monsoon,33493,84.9
Salmon,1.28,Sandy,River,Winter,6294,73.81
Soft Shell Crab,3.91,Sandy,River,Winter,42636,82.64
Trout,0.96,Sandy,Borewell,Winter,13492,94.85
Dungeness Crab,2.16,Clay,River,Monsoon,40283,89.52
Snapper,4.18,Clay,Borewell,Summer,30564,94.31
Seabass,2.8,Clay,Borewell,Winter,16411,72.78
Tilapia,2.4,Sandy,Canal,Summer,7938,84.63
Black Tiger Shrimp,2.26,Loamy,Canal,Winter,39904,87.41
Snow Crab,4.54,Sandy,Canal,Winter,33244,82.96
Snow Crab,3.08,Loamy,Canal,Summer,3264,88.0
Cod,3.59,Loamy,Borewell,Monsoon,21836,75.0
Dungeness Crab,1.44,Clay,River,Winter,42271,93.94
Vannamei,2.84,Sandy,Borewell,Winter,32291,76.04
Freshwater Prawn,3.47,Clay,Canal,Winter,37708,83.14
Grouper,3.45,Loamy,Canal,Monsoon,7628,85.34
Rohu,3.71,Loamy,Canal,Winter,11011,87.43
Tiger Prawn,4.2,Sandy,Canal,Monsoon,30310,74.12
Milkfish,4.2,Sandy,Canal,Summer,2310,78.41
Grouper,2.94,Sandy,Borewell,Winter,26013,75.73
Cod,1.03,Sandy,River,Monsoon,26933,94.43
King Prawn,1.72,Loamy,River,Summer,19059,93.62
Soft Shell Crab,3.63,Clay,Borewell,Summer,14580,80.63
Trout,2.33,Sandy,River,Summer,26615,83.31
Mud Crab,2.7,Clay,River,Summer,25340,91.49
King Prawn,1.28,Clay,Canal,Winter,21879,80.1
Tuna,2.87,Clay,River,Monsoon,8603,74.57
Dungeness Crab,1.04,Loamy,Borewell,Monsoon,13008,76.53
Tuna,2.51,Sandy,Canal,Monsoon,13062,78.51
Grouper,4.72,Clay,Canal,Winter,36018,85.45
Dungeness Crab,2.93,Loamy,Borewell,Winter,29093,88.94
Trout,1.06,Sandy,River,Winter,5585,71.07
Banana Prawn,3.51,Sandy,Borewell,Winter,46557,75.04
Rohu,4.51,Loamy,Canal,Winter,49888,86.99
King Prawn,3.79,Loamy,River,Summer,6647,93.72
King Prawn,2.97,Loamy,Borewell,Winter,21889,85.89
Tilapia,2.49,Clay,Canal,Summer,43543,82.68
Vannamei,3.32,Clay,Borewell,Summer,46484,93.21
Banana Prawn,3.51,Loamy,Borewell,Summer,6700,90.61
Vannamei,4.89,Clay,River,Summer,10964,88.06
Black Tiger Shrimp,2.35,Sandy,Borewell,Monsoon,31304,76.11
Soft Shell Crab,3.14,Clay,Borewell,Monsoon,10228,73.06
Vannamei,4.17,Clay,Canal,Winter,7171,94.07
King Crab,2.92,Loamy,Borewell,Summer,13058,85.53
Tuna,4.3,Loamy,Canal,Monsoon,10125,93.11
Cod,4.61,Loamy,Canal,Monsoon,26366,83.2
Vannamei,2.05,Sandy,Canal,Summer,29242,81.29
Milkfish,1.3,Sandy,Canal,Summer,4241,76.85
King Prawn,2.77,Loamy,River,Summer,11314,81.16
Pangasius,0.56,Clay,Borewell,Winter,6567,76.35
Mud Crab,4.93,Loamy,Borewell,Monsoon,17430,93.23
Milkfish,2.43,Clay,Canal,Monsoon,28605,70.72
Tilapia,4.64,Loamy,Canal,Winter,10835,73.05
Tilapia,2.19,Clay,Borewell,Winter,32220,90.92
Freshwater Prawn,2.18,Sandy,Canal,Monsoon,6416,89.67
Pangasius,2.71,Loamy,River,Winter,16650,85.32
Tiger Prawn,2.54,Sandy,Canal,Monsoon,3907,94.73
Soft Shell Crab,2.25,Sandy,Canal,Summer,22710,78.38
Catfish,4.74,Sandy,Borewell,Summer,2845,86.21
Catfish,4.69,Loamy,Borewell,Winter,23320,77.28
Catfish,4.33,Loamy,Borewell,Summer,43399,77.1
Snapper,2.56,Loamy,River,Summer,46115,72.69
King Prawn,4.49,Loamy,Borewell,Winter,3790,91.18
Rohu,1.81,Loamy,River,Monsoon,14076,94.2
Rohu,2.3,Loamy,Borewell,Winter,15791,71.86
Catfish,4.3,Loamy,Canal,Monsoon,33676,85.3
Tuna,3.88,Loamy,River,Monsoon,18443,75.87
Pangasius,0.59,Loamy,Canal,Summer,37576,84.74
Black Tiger Shrimp,1.78,Loamy,River,Summer,41621,89.07
Trout,4.45,Clay,Canal,Summer,14149,76.63
Banana Prawn,3.59,Loamy,Canal,Winter,19148,74.53
Trout,1.96,Loamy,River,Summer,29798,86.04
Pangasius,1.01,Loamy,Borewell,Monsoon,41593,89.83
Salmon,2.34,Sandy,Borewell,Winter,15338,93.87
Tilapia,0.69,Clay,Canal,Winter,39467,79.95
Tiger Prawn,4.91,Sandy,Borewell,Summer,39242,70.99
Cod,3.3,Sandy,Borewell,Monsoon,8511,90.66
Pangasius,3.57,Sandy,Canal,Monsoon,20786,93.25
Dungeness Crab,0.8,Clay,Borewell,Winter,35535,91.66
King Prawn,2.18,Clay,River,Summer,49627,91.17
Grouper,1.47,Sandy,River,Monsoon,32035,77.98
Barramundi,2.76,Clay,Canal,Winter,7029,84.47
King Prawn,3.09,Sandy,River,Summer,39570,80.04
Banana Prawn,2.32,Sandy,Canal,Monsoon,33355,73.52
Carp,3.04,Sandy,River,Summer,5655,75.99
King Prawn,3.17,Clay,Borewell,Monsoon,49521,90.04
Mud Crab,2.8,Clay,Borewell,Monsoon,49868,71.99
Mud Crab,2.68,Loamy,Canal,Winter,19127,88.44
Barramundi,2.56,Sandy,Canal,Monsoon,43822,78.98
Milkfish,3.31,Sandy,Borewell,Summer,47035,79.74
Trout,4.61,Loamy,Canal,Monsoon,36332,71.31
Tiger Prawn,0.56,Sandy,Canal,Summer,27073,82.8
Whiteleg Shrimp,3.46,Sandy,River,Summer,44392,81.94
Pangasius,3.26,Sandy,River,Summer,43752,81.13
Salmon,4.71,Loamy,River,Winter,30820,93.9
Catfish,1.9,Clay,Canal,Winter,33390,73.45
Cod,4.74,Loamy,Canal,Summer,35230,79.88
Snow Crab,2.36,Loamy,River,Summer,43008,70.13
Mud Crab,4.53,Sandy,Canal,Monsoon,4241,94.18
Grouper,4.3,Sandy,Borewell,Winter,17236,92.58
Tuna,1.32,Loamy,Borewell,Winter,35016,83.1
Soft Shell Crab,3.59,Clay,Canal,Summer,42260,87.68
King Crab,1.86,Sandy,Canal,Summer,21663,77.83
Pangasius,3.01,Loamy,River,Monsoon,15191,75.14
Snapper,1.17,Sandy,Canal,Winter,33801,72.63
Black Tiger Shrimp,4.98,Sandy,Borewell,Winter,44021,80.21
Milkfish,0.85,Sandy,Borewell,Monsoon,30485,91.28
Blue Swimmer Crab,0.93,Sandy,Canal,Winter,36046,85.53
Barramundi,3.48,Sandy,Borewell,Winter,34873,83.05
King Crab,4.41,Sandy,Canal,Monsoon,38726,88.05
Mud Crab,4.03,Loamy,River,Winter,20694,78.57
King Crab,0.85,Loamy,Canal,Summer,26360,84.39
Carp,2.66,Clay,Borewell,Monsoon,22034,83.25
Seabass,4.78,Clay,Borewell,Monsoon,27430,94.46
Banana Prawn,4.88,Clay,Borewell,Summer,5071,85.65
Pangasius,4.96,Sandy,Canal,Monsoon,32161,88.49
Catfish,1.95,Clay,Canal,Winter,28536,85.5
Snapper,4.65,Sandy,Borewell,Summer,16642,78.57
Soft Shell Crab,4.06,Clay,River,Monsoon,2903,88.43
Soft Shell Crab,4.33,Loamy,Canal,Summer,13598,71.37
Tiger Prawn,3.78,Clay,River,Summer,9797,78.1
Trout,4.35,Loamy,Canal,Summer,5870,72.84
Cod,2.51,Clay,Borewell,Monsoon,7888,79.07
