Water_Temp,pH,DO,Salinity,Turbidity,Disease_Risk,Disease_Type,Suggested_Medicine
27.0,6.9,5.36,24.95,43.9,1,White Spot,Lime Treatment
28.3,8.26,6.4,11.57,21.52,1,White Spot,Lime Treatment
28.8,7.02,6.2,5.82,50.31,0,None,None
30.2,6.9,6.69,12.68,36.04,1,White Spot,Lime Treatment
25.1,6.83,4.32,11.15,20.52,1,White Spot,Lime Treatment
29.3,8.12,5.93,13.55,39.19,1,White Spot,Lime Treatment
28.5,8.41,4.77,6.32,14.98,0,None,None
27.0,8.16,5.63,5.62,43.25,1,White Spot,Lime Treatment
24.5,8.03,4.33,18.2,37.49,1,White Spot,Lime Treatment
26.2,7.33,5.36,15.93,28.96,1,White Spot,Lime Treatment
28.3,6.87,6.92,15.73,55.87,0,None,None
26.6,7.19,6.45,22.19,20.95,0,None,None
25.9,6.75,6.27,6.7,37.32,1,White Spot,Lime Treatment
26.0,7.74,5.97,5.88,42.33,1,White Spot,Lime Treatment
30.8,7.68,5.69,8.34,36.17,1,White Spot,Lime Treatment
30.8,7.56,4.47,12.01,10.74,1,White Spot,Lime Treatment
25.1,7.0,5.08,5.38,52.36,0,None,None
27.2,7.2,6.19,22.29,19.89,1,White Spot,Lime Treatment
29.6,7.02,4.35,20.29,37.63,0,None,None
31.8,7.6,5.7,20.66,48.85,0,None,None
26.7,6.86,5.47,23.78,23.11,1,White Spot,Lime Treatment
28.9,6.99,5.07,21.85,56.53,0,None,None
25.6,6.97,5.27,15.2,14.48,1,White Spot,Lime Treatment
24.3,7.04,6.53,14.31,30.87,0,None,None
24.1,8.37,6.17,18.25,34.7,0,None,None
30.9,8.49,5.71,23.59,19.36,1,White Spot,Lime Treatment
25.1,7.72,6.97,10.0,34.56,0,None,None
28.5,8.18,6.2,15.45,24.47,0,None,None
27.1,7.88,5.33,15.05,57.94,1,White Spot,Lime Treatment
25.2,6.51,5.77,21.11,26.41,1,White Spot,Lime Treatment
31.3,7.01,5.62,21.97,50.51,0,None,None
24.5,7.88,6.07,17.4,16.32,0,None,None
27.4,7.86,6.32,21.23,20.42,0,None,None
30.1,7.02,6.48,9.89,38.96,0,None,None
29.5,7.7,6.64,17.07,56.76,1,White Spot,Lime Treatment
29.8,7.44,6.42,20.45,41.65,0,None,None
26.0,8.43,5.73,11.27,46.09,1,White Spot,Lime Treatment
24.5,7.58,4.78,23.12,54.47,1,White Spot,Lime Treatment
25.4,8.4,6.6,8.93,46.82,0,None,None
29.5,8.45,5.0,24.92,49.58,0,None,None
31.9,6.77,5.97,11.65,20.74,0,None,None
30.3,7.42,6.61,6.15,26.4,0,None,None
27.5,7.45,4.44,5.68,25.3,1,White Spot,Lime Treatment
28.8,6.98,4.7,11.62,46.38,1,White Spot,Lime Treatment
31.2,7.96,5.6,13.13,56.45,1,White Spot,Lime Treatment
31.6,7.05,6.9,18.15,38.59,0,None,None
25.6,7.81,4.7,20.97,30.35,1,White Spot,Lime Treatment
29.5,6.62,4.95,23.17,16.43,0,None,None
30.5,7.31,5.13,19.13,56.59,1,White Spot,Lime Treatment
30.1,8.36,5.95,6.58,28.08,0,None,None
30.0,6.69,6.49,14.15,40.4,1,White Spot,Lime Treatment
31.8,6.77,6.24,12.78,30.78,0,None,None
25.3,7.54,4.46,5.01,42.37,0,None,None
27.7,7.16,5.79,20.4,14.58,0,None,None
25.8,6.81,6.27,20.7,35.87,0,None,None
29.0,7.31,5.14,24.07,42.33,0,None,None
26.7,6.89,5.6,9.48,20.84,1,White Spot,Lime Treatment
26.7,7.05,4.67,14.63,17.63,0,None,None
30.6,7.13,6.24,15.49,46.66,0,None,None
27.7,7.68,5.87,9.55,37.31,0,None,None
30.8,8.26,6.38,15.11,34.25,0,None,None
24.2,7.28,5.58,9.77,35.54,1,White Spot,Lime Treatment
29.7,7.16,4.66,23.83,26.08,1,White Spot,Lime Treatment
27.9,7.99,5.74,13.35,34.13,1,White Spot,Lime Treatment
28.0,7.31,5.73,12.57,44.75,0,None,None
24.4,7.73,4.79,12.03,24.36,1,White Spot,Lime Treatment
31.1,7.21,4.36,23.44,55.13,1,White Spot,Lime Treatment
31.9,8.03,5.06,16.96,56.66,1,White Spot,Lime Treatment
31.2,8.33,5.46,5.36,32.92,0,None,None
28.4,7.52,4.57,24.24,34.17,1,White Spot,Lime Treatment
31.2,7.94,5.54,20.65,32.41,1,White Spot,Lime Treatment
25.0,7.59,4.83,9.25,39.97,0,None,None
24.7,7.11,6.27,15.48,28.81,1,White Spot,Lime Treatment
31.1,7.34,5.89,19.86,37.29,0,None,None
28.0,8.37,6.49,8.0,57.65,0,None,None
30.9,7.51,6.31,23.45,54.67,1,White Spot,Lime Treatment
27.0,7.31,4.23,18.48,39.37,0,None,None
28.6,8.14,4.35,14.34,27.74,1,White Spot,Lime Treatment
29.9,7.09,4.01,15.72,21.64,0,None,None
27.9,8.27,6.97,18.6,35.45,1,White Spot,Lime Treatment
24.5,6.86,6.78,11.3,11.68,1,White Spot,Lime Treatment
27.0,7.46,4.93,10.74,14.49,1,White Spot,Lime Treatment
27.2,7.4,5.21,18.5,58.48,1,White Spot,Lime Treatment
28.1,6.55,6.22,21.81,51.7,0,None,None
28.2,6.92,4.39,16.72,49.12,1,White Spot,Lime Treatment
26.5,7.65,4.97,13.02,17.98,1,White Spot,Lime Treatment
27.8,7.37,6.85,15.58,51.56,0,None,None
26.0,6.7,4.55,22.63,29.45,0,None,None
31.5,6.53,5.81,15.92,26.17,0,None,None
24.0,6.8,5.59,24.78,42.98,0,None,None
30.5,6.91,6.88,12.81,13.64,1,White Spot,Lime Treatment
28.8,7.49,6.25,21.37,34.57,1,White Spot,Lime Treatment
30.5,7.7,6.1,5.22,13.05,1,White Spot,Lime Treatment
29.0,6.97,5.88,21.59,56.87,1,White Spot,Lime Treatment
31.7,7.32,5.58,22.65,41.65,1,White Spot,Lime Treatment
25.2,6.75,5.14,8.76,32.19,0,None,None
27.0,6.65,6.82,21.41,45.9,0,None,None
27.1,6.53,6.47,6.47,31.61,1,White Spot,Lime Treatment
26.1,7.95,6.29,24.02,47.21,0,None,None
26.6,6.96,5.52,14.36,41.74,1,White Spot,Lime Treatment
28.4,7.11,4.9,18.52,59.89,1,White Spot,Lime Treatment
28.0,8.33,6.96,21.0,43.33,0,None,None
28.9,7.77,5.31,9.68,56.04,1,White Spot,Lime Treatment
25.3,7.43,5.45,18.92,13.52,0,None,None
29.8,6.66,6.32,21.58,59.57,1,White Spot,Lime Treatment
29.7,8.37,4.08,11.28,54.31,1,White Spot,Lime Treatment
30.7,6.99,6.82,18.96,46.24,1,White Spot,Lime Treatment
27.8,7.92,5.87,18.36,13.34,1,White Spot,Lime Treatment
24.1,7.23,6.39,19.77,45.88,1,White Spot,Lime Treatment
27.7,7.37,4.08,10.01,36.11,1,White Spot,Lime Treatment
27.2,8.1,6.54,13.22,25.82,1,White Spot,Lime Treatment
26.9,6.89,5.43,8.76,30.92,0,None,None
29.5,8.03,5.52,17.68,44.45,0,None,None
25.6,6.81,4.28,5.04,16.88,0,None,None
25.4,8.11,5.49,19.39,29.19,0,None,None
30.2,7.11,4.58,21.07,51.86,0,None,None
24.4,7.85,5.3,7.17,11.67,1,White Spot,Lime Treatment
29.9,8.2,5.26,21.71,17.94,1,White Spot,Lime Treatment
25.6,6.81,4.58,20.38,28.87,1,White Spot,Lime Treatment
31.7,8.37,5.86,13.14,30.59,1,White Spot,Lime Treatment
25.9,6.94,4.64,12.24,13.88,0,None,None
25.1,7.3,4.4,6.34,24.03,0,None,None
26.7,6.93,6.76,9.97,13.37,0,None,None
26.2,6.52,6.96,13.58,14.31,1,White Spot,Lime Treatment
27.5,7.81,6.67,24.63,34.45,0,None,None
28.7,7.56,4.19,15.91,12.08,0,None,None
28.5,7.68,6.8,17.64,38.38,1,White Spot,Lime Treatment
26.8,8.47,5.4,16.43,50.2,0,None,None
24.1,6.81,5.44,13.09,14.99,1,White Spot,Lime Treatment
28.7,7.63,6.07,23.43,59.53,1,White Spot,Lime Treatment
31.1,7.71,5.91,17.08,34.63,1,White Spot,Lime Treatment
24.3,8.23,4.55,19.06,17.47,0,None,None
28.4,7.65,6.52,15.6,16.27,0,None,None
24.3,7.92,6.88,9.2,19.56,0,None,None
27.8,7.85,4.67,7.88,11.81,0,None,None
27.7,7.61,6.06,7.07,48.94,0,None,None
28.6,7.15,4.12,12.82,46.51,1,White Spot,Lime Treatment
28.8,7.06,6.15,19.6,30.86,1,White Spot,Lime Treatment
30.7,8.26,6.72,13.72,32.96,0,None,None
25.9,6.83,5.91,14.34,12.54,1,White Spot,Lime Treatment
28.7,6.97,5.48,7.52,23.13,1,White Spot,Lime Treatment
28.7,8.32,5.8,12.23,55.21,0,None,None
30.3,6.61,6.22,14.89,15.39,1,White Spot,Lime Treatment
25.2,8.37,4.85,15.4,33.8,0,None,None
26.3,7.86,5.64,13.2,33.12,0,None,None
29.0,6.87,6.99,8.1,53.47,1,White Spot,Lime Treatment
29.0,8.47,4.72,14.67,13.47,0,None,None
27.2,7.86,4.06,24.47,58.51,0,None,None
29.6,8.17,6.52,18.92,55.95,1,White Spot,Lime Treatment
25.3,7.17,6.79,14.9,52.05,0,None,None
27.6,7.44,4.17,17.49,52.26,0,None,None
27.4,8.46,4.89,21.12,20.89,0,None,None
26.7,6.57,6.03,6.81,23.55,1,White Spot,Lime Treatment
31.9,7.24,6.22,17.57,41.92,0,None,None
25.3,7.24,5.87,23.72,40.59,0,None,None
27.7,7.73,5.32,17.93,46.39,1,White Spot,Lime Treatment
31.2,7.19,6.98,22.41,24.99,0,None,None
31.3,7.18,5.44,23.43,54.42,0,None,None
28.1,7.79,6.52,14.45,58.05,1,White Spot,Lime Treatment
25.1,7.21,4.83,18.59,34.98,1,White Spot,Lime Treatment
29.3,6.58,4.33,10.66,25.41,0,None,None
28.5,7.33,5.1,20.95,17.47,1,White Spot,Lime Treatment
31.9,7.69,6.2,10.37,46.92,0,None,None
31.0,7.64,6.9,5.58,12.36,1,White Spot,Lime Treatment
30.3,7.07,5.98,19.58,23.28,0,None,None
24.3,6.57,4.48,12.1,17.08,0,None,None
27.7,8.17,6.17,5.3,43.74,1,White Spot,Lime Treatment
27.0,7.32,5.54,22.1,42.67,1,White Spot,Lime Treatment
26.5,7.32,5.56,9.86,13.34,1,White Spot,Lime Treatment
30.3,6.53,4.61,21.52,51.59,0,None,None
31.5,7.5,5.22,5.86,20.58,0,None,None
27.7,8.47,6.31,6.13,45.4,0,None,None
24.8,7.79,5.69,20.14,30.91,1,White Spot,Lime Treatment
30.5,8.27,6.15,7.64,36.35,1,White Spot,Lime Treatment
29.6,6.89,5.87,12.19,32.63,1,White Spot,Lime Treatment
31.2,6.61,5.55,5.73,55.68,1,White Spot,Lime Treatment
28.0,7.22,6.74,16.68,54.42,1,White Spot,Lime Treatment
29.9,7.51,5.05,7.39,33.68,0,None,None
27.8,7.7,5.91,19.84,37.65,0,None,None
24.9,7.14,5.2,15.23,47.78,0,None,None
27.2,7.26,6.92,20.89,46.16,1,White Spot,Lime Treatment
30.1,8.5,4.75,22.77,41.05,1,White Spot,Lime Treatment
30.9,7.33,5.39,11.28,13.26,0,None,None
26.1,7.42,4.01,11.84,22.68,1,White Spot,Lime Treatment
30.7,6.78,6.6,14.1,46.6,1,White Spot,Lime Treatment
31.5,6.59,4.1,9.15,47.9,0,None,None
25.6,6.6,5.76,5.3,49.5,0,None,None
25.0,7.27,5.23,6.87,55.68,1,White Spot,Lime Treatment
24.6,8.43,6.12,12.61,35.66,0,None,None
24.1,7.42,6.69,18.06,23.99,0,None,None
29.1,7.42,4.96,14.31,32.31,1,White Spot,Lime Treatment
26.2,8.1,6.77,15.34,51.77,0,None,None
30.0,6.74,5.85,19.93,47.96,1,White Spot,Lime Treatment
28.0,6.76,4.43,22.55,25.81,0,None,None
31.2,7.6,4.63,6.22,54.78,0,None,None
24.0,6.61,4.16,15.06,11.61,1,White Spot,Lime Treatment
31.6,6.55,4.92,16.17,17.58,1,White Spot,Lime Treatment
28.2,7.46,5.23,10.34,23.0,1,White Spot,Lime Treatment
27.3,6.97,5.3,19.6,10.59,0,None,None
31.1,6.59,4.18,11.31,53.3,1,White Spot,Lime Treatment
30.6,7.91,4.11,7.1,22.15,1,White Spot,Lime Treatment
24.9,8.13,6.87,9.12,13.96,1,White Spot,Lime Treatment
29.6,8.14,4.16,24.95,55.13,0,None,None
25.2,8.29,6.22,18.04,25.75,1,White Spot,Lime Treatment
31.1,8.45,4.01,15.55,21.23,0,None,None
31.4,6.71,6.83,12.53,51.52,0,None,None
29.8,6.78,5.1,16.07,34.88,0,None,None
30.9,6.8,6.57,17.45,55.14,1,White Spot,Lime Treatment
30.9,6.69,4.59,20.44,30.56,0,None,None
25.2,8.3,6.02,15.01,45.94,1,White Spot,Lime Treatment
31.9,7.08,6.61,5.11,30.76,1,White Spot,Lime Treatment
25.4,6.68,4.94,11.79,12.15,0,None,None
26.8,7.28,5.97,24.08,52.99,1,White Spot,Lime Treatment
30.4,7.34,5.61,18.52,11.46,0,None,None
24.5,7.72,4.42,22.54,35.24,0,None,None
29.1,7.44,4.42,7.51,27.48,0,None,None
28.8,6.79,6.02,16.09,41.5,1,White Spot,Lime Treatment
30.1,8.24,6.67,5.68,34.78,1,White Spot,Lime Treatment
24.2,6.65,4.69,8.83,54.07,1,White Spot,Lime Treatment
27.5,7.49,4.08,10.79,50.36,1,White Spot,Lime Treatment
30.4,7.95,4.55,12.42,35.02,1,White Spot,Lime Treatment
27.4,7.62,5.71,10.37,39.75,0,None,None
31.2,8.07,5.62,22.99,50.9,0,None,None
29.5,7.41,5.85,19.79,17.17,1,White Spot,Lime Treatment
28.7,6.75,6.88,21.08,28.36,1,White Spot,Lime Treatment
27.3,7.75,4.96,16.11,47.21,0,None,None
24.3,6.88,5.8,24.09,31.67,0,None,None
28.9,8.16,5.85,24.24,34.92,1,White Spot,Lime Treatment
24.4,6.67,4.86,17.21,15.04,0,None,None
30.8,7.17,4.4,8.75,58.52,1,White Spot,Lime Treatment
30.3,6.93,4.76,8.6,39.01,0,None,None
28.5,7.97,4.93,15.05,33.77,0,None,None
26.2,8.18,4.7,13.53,39.57,1,White Spot,Lime Treatment
25.7,6.99,6.09,14.12,13.16,0,None,None
26.1,6.87,6.44,11.58,17.73,1,White Spot,Lime Treatment
26.9,6.95,4.01,18.33,52.8,1,White Spot,Lime Treatment
30.3,7.24,6.34,7.92,10.59,1,White Spot,Lime Treatment
24.3,7.15,5.57,14.54,55.58,1,White Spot,Lime Treatment
24.7,7.07,5.64,8.31,23.21,0,None,None
26.7,8.37,5.95,14.61,53.52,1,White Spot,Lime Treatment
29.5,7.05,5.2,22.0,40.96,0,None,None
30.6,7.98,5.14,23.52,50.7,1,White Spot,Lime Treatment
27.7,7.11,6.8,22.86,55.62,0,None,None
27.4,8.38,6.19,7.43,45.23,0,None,None
29.8,7.25,5.09,24.12,20.56,0,None,None
26.9,7.87,6.91,13.67,30.54,1,White Spot,Lime Treatment
31.2,7.51,6.47,7.56,43.73,1,White Spot,Lime Treatment
26.9,8.4,5.1,10.5,52.05,1,White Spot,Lime Treatment
25.5,7.65,5.39,23.99,17.4,1,White Spot,Lime Treatment
28.3,6.6,5.93,21.49,16.49,1,White Spot,Lime Treatment
30.9,6.59,4.55,20.42,44.02,1,White Spot,Lime Treatment
28.8,7.74,6.51,15.07,44.91,1,White Spot,Lime Treatment
28.0,7.91,6.26,10.68,59.58,1,White Spot,Lime Treatment
28.6,7.85,5.72,23.97,19.74,1,White Spot,Lime Treatment
31.1,8.17,5.55,23.99,32.57,1,White Spot,Lime Treatment
26.1,7.65,5.42,10.7,35.61,0,None,None
24.4,6.82,4.71,20.73,26.93,1,White Spot,Lime Treatment
28.5,7.36,6.14,10.9,51.52,0,None,None
29.0,7.93,4.56,8.96,27.62,1,White Spot,Lime Treatment
29.6,6.67,5.73,21.1,38.31,0,None,None
26.1,7.0,4.22,12.78,55.04,1,White Spot,Lime Treatment
30.9,7.95,4.76,6.66,46.18,0,None,None
28.6,6.86,5.07,16.73,13.5,1,White Spot,Lime Treatment
29.7,6.94,6.26,6.47,28.09,1,White Spot,Lime Treatment
30.5,7.03,4.0,10.53,22.12,1,White Spot,Lime Treatment
24.7,6.68,6.81,5.86,52.95,1,White Spot,Lime Treatment
27.1,7.65,4.94,20.67,50.75,1,White Spot,Lime Treatment
29.0,7.57,4.99,13.11,40.16,0,None,None
26.4,8.02,5.78,5.89,41.98,0,None,None
26.0,6.65,5.82,9.9,36.44,0,None,None
26.5,7.32,4.58,11.44,45.05,1,White Spot,Lime Treatment
31.1,7.9,5.17,9.27,34.36,1,White Spot,Lime Treatment
27.7,6.57,5.16,16.91,42.33,0,None,None
29.7,7.27,5.8,6.67,42.81,1,White Spot,Lime Treatment
28.2,8.11,6.89,16.18,50.84,1,White Spot,Lime Treatment
28.8,8.1,4.35,6.57,30.77,0,None,None
25.4,8.07,6.02,5.37,19.94,1,White Spot,Lime Treatment
30.3,7.28,6.1,13.53,25.13,0,None,None
27.2,6.95,6.68,5.88,43.48,1,White Spot,Lime Treatment
31.1,7.77,5.81,14.17,43.81,1,White Spot,Lime Treatment
28.1,8.26,4.84,5.98,21.83,1,White Spot,Lime Treatment
25.9,6.82,6.37,9.41,56.89,0,None,None
30.3,7.21,6.18,21.07,52.26,0,None,None
25.1,7.07,4.52,23.12,52.81,1,White Spot,Lime Treatment
28.0,7.43,4.95,12.89,41.27,0,None,None
26.7,7.7,4.32,16.91,37.85,1,White Spot,Lime Treatment
27.8,7.55,6.86,16.78,55.04,0,None,None
31.8,7.3,6.54,23.27,49.78,1,White Spot,Lime Treatment
24.7,6.92,6.72,5.5,17.15,0,None,None
24.2,7.89,5.29,23.95,55.06,1,White Spot,Lime Treatment
25.0,8.33,5.49,21.42,21.08,1,White Spot,Lime Treatment
28.8,7.27,6.33,9.49,13.3,1,White Spot,Lime Treatment
26.1,6.51,6.26,18.09,34.38,1,White Spot,Lime Treatment
24.4,7.25,6.58,20.51,58.09,1,White Spot,Lime Treatment
28.1,7.0,5.46,20.52,14.87,1,White Spot,Lime Treatment
28.8,6.73,4.46,24.7,55.81,1,White Spot,Lime Treatment
27.0,7.42,6.37,23.1,12.03,1,White Spot,Lime Treatment
24.0,6.58,6.01,12.08,18.65,1,White Spot,Lime Treatment
28.1,8.19,6.68,17.79,18.54,0,None,None
24.3,8.24,6.8,16.09,38.76,0,None,None
28.3,7.57,5.93,21.96,53.91,1,White Spot,Lime Treatment
29.5,7.09,5.79,5.46,56.7,1,White Spot,Lime Treatment
30.2,6.51,6.28,18.52,49.13,1,White Spot,Lime Treatment
30.8,6.93,4.84,7.74,44.0,1,White Spot,Lime Treatment
28.1,7.95,6.25,23.91,59.97,0,None,None
24.2,6.74,6.48,21.06,17.31,1,White Spot,Lime Treatment
28.1,7.79,5.42,10.55,26.98,1,White Spot,Lime Treatment
26.4,8.07,6.08,20.7,11.59,1,White Spot,Lime Treatment
26.1,7.3,4.04,15.41,16.61,0,None,None
26.2,8.1,4.44,19.17,50.18,0,None,None
29.1,6.6,6.05,17.89,15.77,1,White Spot,Lime Treatment
25.6,6.59,4.37,20.14,11.19,0,None,None
28.1,6.8,6.06,7.76,46.69,0,None,None
30.7,7.63,4.5,9.66,42.04,1,White Spot,Lime Treatment
28.7,8.45,4.92,24.13,57.0,1,White Spot,Lime Treatment
31.7,8.45,5.42,7.6,14.38,0,None,None
26.4,8.31,5.65,20.05,55.09,1,White Spot,Lime Treatment
30.7,6.87,6.32,21.98,34.29,0,None,None
27.1,7.48,5.63,16.8,43.17,1,White Spot,Lime Treatment
26.7,7.09,5.92,9.62,27.4,1,White Spot,Lime Treatment
30.9,7.29,4.99,9.68,21.94,1,White Spot,Lime Treatment
28.7,8.42,4.04,6.12,32.45,1,White Spot,Lime Treatment
25.1,7.68,5.93,11.14,26.7,0,None,None
24.4,6.69,5.85,14.84,12.87,1,White Spot,Lime Treatment
31.9,7.59,4.87,18.58,43.41,0,None,None
26.3,6.9,6.78,23.33,40.38,0,None,None
30.0,6.73,6.04,14.39,40.58,0,None,None
27.0,6.52,4.21,20.35,49.82,1,White Spot,Lime Treatment
26.6,7.07,6.47,18.19,56.97,0,None,None
28.4,7.77,6.13,10.7,45.68,0,None,None
30.2,7.41,4.61,10.17,34.33,1,White Spot,Lime Treatment
29.0,8.25,4.91,22.57,13.14,1,White Spot,Lime Treatment
28.1,7.36,5.83,17.06,14.97,0,None,None
24.7,8.17,6.6,19.06,59.42,1,White Spot,Lime Treatment
24.2,7.6,5.45,6.56,57.99,0,None,None
29.2,7.15,4.08,7.14,31.99,0,None,None
26.1,7.94,6.55,6.44,40.35,0,None,None
25.0,6.54,4.28,22.29,55.19,0,None,None
29.5,7.66,6.02,5.67,39.04,1,White Spot,Lime Treatment
28.7,7.47,6.95,9.4,34.81,0,None,None
30.6,7.27,6.74,15.2,20.99,1,White Spot,Lime Treatment
26.1,7.29,6.82,11.23,11.43,1,White Spot,Lime Treatment
24.1,7.49,4.48,5.61,43.93,1,White Spot,Lime Treatment
31.3,7.51,6.14,16.31,55.71,0,None,None
25.2,7.28,6.6,17.05,47.7,0,None,None
27.8,7.65,5.17,17.68,21.33,1,White Spot,Lime Treatment
27.2,6.58,4.66,17.1,48.36,0,None,None
25.7,8.23,4.79,17.48,30.52,1,White Spot,Lime Treatment
24.5,8.05,4.42,5.94,57.52,1,White Spot,Lime Treatment
25.4,7.41,6.96,23.42,32.09,0,None,None
30.2,6.56,6.88,10.27,42.42,0,None,None
25.5,8.42,4.99,21.89,56.06,0,None,None
27.1,7.99,6.63,11.9,17.82,0,None,None
26.2,7.8,4.34,9.26,22.17,1,White Spot,Lime Treatment
25.4,6.82,4.38,19.8,55.23,0,None,None
30.9,7.82,4.61,9.42,53.63,0,None,None
26.8,7.1,6.23,6.14,48.04,1,White Spot,Lime Treatment
26.0,8.16,4.4,20.26,25.95,0,None,None
26.4,7.32,6.73,5.13,31.18,1,White Spot,Lime Treatment
24.8,6.64,5.1,19.01,12.61,1,White Spot,Lime Treatment
25.5,7.81,4.6,11.54,12.95,1,White Spot,Lime Treatment
25.3,7.88,5.51,24.17,20.41,1,White Spot,Lime Treatment
25.5,7.14,6.04,19.31,56.3,1,White Spot,Lime Treatment
31.9,7.09,4.21,24.32,42.83,0,None,None
27.1,6.55,6.06,17.45,51.87,0,None,None
24.3,8.27,6.97,15.73,48.54,0,None,None
31.7,7.2,5.38,22.89,18.55,1,White Spot,Lime Treatment
26.3,8.46,6.98,14.26,53.26,1,White Spot,Lime Treatment
25.5,7.78,6.57,19.18,59.9,1,White Spot,Lime Treatment
25.7,7.6,4.24,13.07,26.16,1,White Spot,Lime Treatment
26.6,8.35,4.91,20.72,20.41,0,None,None
25.6,6.71,6.78,6.02,43.68,1,White Spot,Lime Treatment
28.4,6.53,5.56,11.38,28.67,1,White Spot,Lime Treatment
29.0,7.9,4.88,7.5,26.86,0,None,None
29.9,8.27,5.43,18.89,22.66,0,None,None
30.2,7.32,6.3,15.49,12.9,1,White Spot,Lime Treatment
29.8,7.92,4.04,17.07,59.9,1,White Spot,Lime Treatment
28.7,7.6,6.02,12.99,56.04,0,None,None
27.4,6.67,6.43,8.22,13.87,1,White Spot,Lime Treatment
26.6,7.49,5.8,20.12,38.51,0,None,None
30.0,7.44,6.29,6.49,49.15,1,White Spot,Lime Treatment
28.2,7.0,6.71,12.62,51.02,0,None,None
28.8,6.81,5.28,8.58,32.63,1,White Spot,Lime Treatment
31.0,8.22,4.82,11.26,16.58,0,None,None
28.3,8.2,4.91,18.02,38.82,0,None,None
26.5,7.99,6.4,16.59,31.41,1,White Spot,Lime Treatment
24.6,6.81,5.5,24.74,59.66,0,None,None
32.0,7.22,6.3,18.86,26.06,0,None,None
26.4,7.83,6.14,13.33,36.24,1,White Spot,Lime Treatment
24.8,8.33,4.13,23.99,36.66,0,None,None
27.5,7.67,6.43,11.29,52.23,1,White Spot,Lime Treatment
30.6,7.23,4.3,18.75,19.69,1,White Spot,Lime Treatment
24.1,7.18,4.02,14.33,25.01,1,White Spot,Lime Treatment
31.9,8.48,6.67,18.79,11.3,1,White Spot,Lime Treatment
27.3,7.6,5.09,7.29,16.0,1,White Spot,Lime Treatment
24.9,7.47,5.32,18.6,36.1,0,None,None
24.4,7.04,5.97,13.38,10.31,1,White Spot,Lime Treatment
26.1,8.49,4.87,20.22,54.34,0,None,None
24.5,7.23,5.39,13.14,54.95,0,None,None
31.9,7.09,6.92,7.31,24.18,1,White Spot,Lime Treatment
28.0,7.66,5.57,8.72,55.89,1,White Spot,Lime Treatment
25.6,7.18,5.9,17.23,54.71,1,White Spot,Lime Treatment
29.7,8.11,6.67,7.67,43.65,0,None,None
29.6,7.53,4.44,17.39,36.61,1,White Spot,Lime Treatment
29.6,7.52,5.54,11.03,10.44,0,None,None
28.8,7.73,4.05,19.37,57.99,1,White Spot,Lime Treatment
28.9,6.88,4.43,8.03,29.92,0,None,None
28.2,8.46,4.12,21.46,56.97,0,None,None
28.3,8.2,4.9,11.07,48.13,1,White Spot,Lime Treatment
29.5,7.94,5.82,24.52,42.62,1,White Spot,Lime Treatment
25.3,8.07,5.83,22.61,21.01,0,None,None
26.7,7.2,5.33,23.87,12.59,1,White Spot,Lime Treatment
28.0,7.29,6.34,24.81,11.51,0,None,None
28.2,7.38,4.81,6.87,59.5,0,None,None
25.0,7.71,5.88,17.77,24.9,0,None,None
31.7,6.94,4.12,11.79,52.14,1,White Spot,Lime Treatment
26.3,7.41,5.94,8.61,41.88,1,White Spot,Lime Treatment
26.9,7.79,4.34,18.33,42.23,0,None,None
25.1,7.63,6.42,12.53,58.57,1,White Spot,Lime Treatment
24.7,7.95,5.96,13.86,39.34,0,None,None
29.9,7.0,4.11,8.27,40.81,0,None,None
26.4,6.57,5.9,16.09,16.08,1,White Spot,Lime Treatment
28.6,8.02,4.06,22.21,12.1,0,None,None
27.5,7.74,4.71,8.56,23.7,1,White Spot,Lime Treatment
30.1,7.21,6.15,24.88,59.13,1,White Spot,Lime Treatment
31.7,6.69,5.43,10.2,22.17,1,White Spot,Lime Treatment
26.6,8.37,5.24,6.8,17.03,1,White Spot,Lime Treatment
29.4,7.43,6.98,24.88,58.04,0,None,None
30.2,7.25,5.98,5.83,44.18,1,White Spot,Lime Treatment
25.3,8.28,6.46,7.76,10.11,1,White Spot,Lime Treatment
28.7,6.7,5.08,10.38,47.04,0,None,None
29.2,8.0,6.27,16.77,38.15,0,None,None
27.6,8.19,4.33,22.03,36.52,0,None,None
26.9,7.38,6.96,24.26,25.45,0,None,None
30.4,7.96,5.16,6.65,26.58,0,None,None
24.9,8.13,4.51,16.01,15.31,0,None,None
26.5,6.57,6.9,21.52,39.63,1,White Spot,Lime Treatment
25.3,7.28,5.2,20.35,48.29,1,White Spot,Lime Treatment
30.0,8.32,5.39,14.03,42.98,0,None,None
28.8,7.85,6.65,22.48,29.62,0,None,None
25.1,7.64,5.82,9.41,21.41,1,White Spot,Lime Treatment
28.9,6.87,5.09,11.06,57.28,1,White Spot,Lime Treatment
24.1,7.37,5.35,15.47,15.0,0,None,None
28.6,6.64,4.88,21.87,36.35,0,None,None
26.4,7.45,5.89,23.71,48.28,1,White Spot,Lime Treatment
30.9,7.11,5.94,9.35,30.11,1,White Spot,Lime Treatment
25.0,7.62,6.31,8.46,21.78,0,None,None
28.2,8.38,5.37,21.55,56.5,0,None,None
31.8,7.61,5.89,18.02,26.87,0,None,None
24.6,8.22,4.88,18.63,56.43,1,White Spot,Lime Treatment
28.2,7.22,4.13,21.66,58.44,1,White Spot,Lime Treatment
25.8,6.78,4.39,24.95,37.35,0,None,None
