Species,Pond_Area,Feed_Used,Culture_Days,Expected_Yield
King Prawn,3.0,2014,93,9.53
Vannamei,1.4,1264,130,3.57
Tilapia,2.5,2863,167,2.88
King Crab,1.1,4441,155,6.15
Blue Swimmer Crab,4.3,1740,147,8.09
Snow Crab,4.9,4411,115,6.63
Blue Swimmer Crab,3.8,3481,165,2.09
Seabass,3.3,2350,98,5.24
Banana Prawn,4.4,3601,112,3.42
Dungeness Crab,1.8,4395,124,6.23
Soft Shell Crab,4.0,3347,102,2.64
Cod,4.9,2053,102,2.32
Grouper,4.8,3995,150,3.41
Dungeness Crab,3.4,3528,94,6.92
Tuna,4.9,598,165,7.58
Banana Prawn,0.9,1419,149,9.92
Black Tiger Shrimp,4.8,2039,154,8.33
Vannamei,4.0,4243,154,6.68
Cod,4.7,3040,148,7.68
Snapper,4.8,2085,127,4.05
Seabass,1.9,1554,136,9.78
Barramundi,1.5,1668,151,6.87
Freshwater Prawn,4.0,2763,158,7.54
Rohu,4.3,873,175,5.25
Catfish,3.2,1711,113,5.34
Snapper,1.7,2266,118,8.69
Carp,4.6,1191,135,3.56
Barramundi,3.1,1630,129,5.08
Milkfish,2.2,2284,117,9.27
Vannamei,4.6,1215,157,2.36
Mud Crab,1.3,1915,102,6.98
Trout,0.7,2113,179,7.27
Blue Swimmer Crab,2.8,1532,179,2.18
Snow Crab,2.8,2263,136,6.38
Rohu,1.9,2886,165,8.41
Carp,3.1,2598,102,4.43
Catfish,4.5,1527,129,4.08
Pangasius,3.1,2486,143,9.75
Vannamei,3.8,3911,124,7.91
Salmon,1.5,2692,176,8.98
Snow Crab,3.8,3037,143,9.47
Banana Prawn,2.3,1607,93,6.5
Whiteleg Shrimp,2.6,2696,136,8.99
Trout,3.4,4519,175,5.13
Carp,3.4,3643,168,7.99
Cod,2.4,544,167,7.76
Vannamei,1.9,1251,171,6.04
Trout,4.5,1757,115,9.41
Dungeness Crab,3.2,3828,146,6.81
Catfish,1.1,3341,156,9.06
Vannamei,5.0,2049,179,6.73
Mud Crab,4.3,3175,157,4.48
Black Tiger Shrimp,4.3,3347,108,9.92
Cod,4.6,853,119,2.85
Banana Prawn,3.2,3609,131,4.74
Grouper,2.2,1169,160,3.87
Rohu,1.6,911,173,2.74
Dungeness Crab,1.8,4999,113,6.74
Dungeness Crab,1.2,4950,104,5.01
Black Tiger Shrimp,4.3,4668,146,2.3
Banana Prawn,4.9,1814,143,6.63
Tiger Prawn,2.4,815,168,5.1
Vannamei,4.3,4534,158,4.76
Rohu,2.5,2707,118,8.63
Tiger Prawn,3.4,958,95,6.97
Snow Crab,1.7,4210,130,7.68
Vannamei,0.5,3940,150,4.45
Salmon,4.8,2752,135,6.16
Snow Crab,1.0,3914,169,6.87
Rohu,4.3,4073,147,2.59
Trout,1.0,2065,164,6.21
Snapper,0.6,3918,152,5.39
Snapper,0.9,511,111,8.34
Tuna,2.3,1021,167,6.43
Pangasius,4.6,4756,138,4.22
Freshwater Prawn,3.3,653,113,3.89
Soft Shell Crab,2.9,943,173,3.07
Cod,1.7,1544,173,4.35
Milkfish,3.4,3483,154,3.06
Dungeness Crab,2.4,2341,136,5.14
Grouper,3.3,3492,90,4.95
Soft Shell Crab,4.0,3656,120,9.64
Mud Crab,1.8,3729,99,8.16
Tiger Prawn,4.6,1867,114,7.88
Grouper,3.3,1132,166,9.59
Cod,2.4,1753,158,5.99
Mud Crab,5.0,2953,177,3.87
Snow Crab,3.8,1571,112,8.99
Tilapia,4.6,1019,99,5.85
Whiteleg Shrimp,2.1,1872,98,3.95
Snow Crab,2.4,4727,127,8.66
Seabass,0.9,546,100,7.25
Soft Shell Crab,2.8,3232,160,3.59
Freshwater Prawn,2.5,1050,110,9.59
Whiteleg Shrimp,1.7,877,147,4.07
Milkfish,0.7,2079,140,9.08
Tilapia,4.7,4437,156,8.48
Banana Prawn,4.5,1279,111,8.22
Vannamei,3.9,1459,174,4.9
Salmon,2.2,3266,114,6.22
Barramundi,1.2,3015,158,6.81
Banana Prawn,1.6,3990,122,8.88
Milkfish,3.0,3083,145,5.75
Rohu,4.5,2865,157,3.96
Mud Crab,3.4,893,112,2.25
King Prawn,4.9,2284,135,2.02
Seabass,2.6,3576,160,6.99
Salmon,4.8,4854,116,5.37
Black Tiger Shrimp,1.9,1244,162,2.79
Snapper,3.5,1404,137,5.04
Pangasius,3.3,2085,152,9.47
Tuna,2.1,1823,179,5.41
Mud Crab,4.7,4053,119,8.05
King Prawn,3.6,2299,95,5.76
Whiteleg Shrimp,0.9,3160,100,7.61
Freshwater Prawn,4.7,2284,105,5.79
Banana Prawn,0.7,4186,147,7.63
Tuna,0.7,3464,157,2.54
Mud Crab,1.2,3637,122,7.89
Mud Crab,2.0,4278,153,9.67
Snapper,1.1,2214,136,8.98
Mud Crab,4.1,4136,99,6.79
Snow Crab,0.7,4644,123,9.41
Tiger Prawn,4.2,1345,96,8.36
Whiteleg Shrimp,0.6,4036,163,2.2
Dungeness Crab,3.9,1920,132,7.88
Cod,2.6,1711,106,7.73
Cod,4.6,659,117,2.24
King Crab,4.1,520,175,3.92
Dungeness Crab,0.7,2583,123,9.33
Trout,1.5,2975,95,7.0
Rohu,3.3,3314,137,4.18
Mud Crab,4.3,3597,118,9.33
King Prawn,2.3,1250,100,7.12
Carp,1.6,3782,106,3.1
Milkfish,1.6,4116,140,7.04
Catfish,4.8,647,159,7.63
Cod,1.3,3904,103,4.88
Carp,1.3,4231,99,9.14
King Prawn,3.7,670,118,2.22
Tilapia,2.0,1908,93,3.76
Pangasius,1.9,2850,179,2.07
Barramundi,1.3,1107,124,2.18
Tiger Prawn,4.5,860,91,5.51
Trout,2.9,1307,116,8.4
Tiger Prawn,4.8,1948,116,2.4
Salmon,1.8,3260,99,9.46
Trout,1.3,1023,140,6.99
Milkfish,3.1,3515,151,8.64
Banana Prawn,0.5,1928,166,9.98
Milkfish,4.1,1085,133,3.29
Snapper,1.0,1551,132,7.29
Mud Crab,3.1,3162,121,6.44
Snow Crab,1.1,4312,99,5.71
King Crab,4.8,1433,145,8.04
Snapper,0.7,844,146,9.85
Salmon,3.6,805,151,3.36
Rohu,2.9,4269,179,5.02
Black Tiger Shrimp,3.4,2667,176,8.79
Barramundi,3.6,2558,137,5.64
Cod,2.3,3000,124,2.26
Tuna,3.7,3601,155,3.38
Blue Swimmer Crab,4.2,818,93,7.48
Blue Swimmer Crab,3.0,4437,146,6.12
Mud Crab,2.3,1956,140,7.3
Snow Crab,3.9,1752,142,3.25
Seabass,4.5,3940,126,8.72
Salmon,0.9,1922,166,4.76
Pangasius,2.3,2752,97,6.95
Grouper,4.5,1159,128,8.41
Tuna,2.5,2513,146,6.8
Snapper,3.0,3662,157,8.15
Cod,3.1,1751,118,5.3
King Prawn,2.6,941,139,3.51
Tiger Prawn,2.4,2108,103,4.77
Tuna,2.5,575,124,4.96
Tuna,3.1,1350,171,8.48
Snow Crab,3.3,2024,151,4.39
Catfish,0.6,1596,136,2.55
Vannamei,2.2,945,133,8.72
Barramundi,3.7,4571,111,3.96
Trout,3.3,2922,155,4.21
Tiger Prawn,0.5,3635,123,9.13
Black Tiger Shrimp,2.1,3385,134,2.48
Cod,4.6,1206,179,7.14
Carp,3.2,2225,103,7.46
Pangasius,0.6,2764,165,7.3
King Crab,4.6,3824,156,9.11
Whiteleg Shrimp,0.6,3762,132,4.08
Snow Crab,2.8,2612,96,3.46
Salmon,4.2,2624,173,3.08
Catfish,0.9,3624,145,7.92
Freshwater Prawn,2.2,3528,109,7.55
Milkfish,2.3,1891,165,6.98
Snow Crab,4.3,4675,156,5.47
Vannamei,3.4,4919,159,8.05
Black Tiger Shrimp,0.8,3392,160,5.7
Vannamei,1.1,4761,106,5.58
Mud Crab,4.6,1644,116,5.16
Rohu,2.7,986,174,4.55
Blue Swimmer Crab,4.6,4727,158,6.62
Rohu,2.0,1207,101,9.51
Cod,4.0,3821,111,6.72
Grouper,3.2,4671,94,5.51
Freshwater Prawn,3.5,3281,151,6.16
Black Tiger Shrimp,2.3,2757,131,8.81
Catfish,3.2,3624,114,3.61
Mud Crab,3.2,2111,133,4.1
Dungeness Crab,2.2,2764,159,4.8
Banana Prawn,3.4,4324,126,5.86
Pangasius,2.7,4723,152,3.76
Mud Crab,2.3,511,99,4.04
Catfish,2.7,1174,147,9.28
Soft Shell Crab,3.6,4068,143,8.86
Blue Swimmer Crab,1.4,2363,115,4.14
Catfish,2.7,3962,94,3.57
Milkfish,2.1,974,178,9.63
Black Tiger Shrimp,4.1,2280,114,4.18
Tilapia,4.6,1267,180,6.78
Cod,0.6,4331,110,5.55
Whiteleg Shrimp,4.8,525,155,2.68
Salmon,3.7,3625,180,2.72
Seabass,2.6,1329,91,5.41
Black Tiger Shrimp,0.5,4717,118,4.42
Milkfish,4.1,3399,180,5.31
Seabass,0.8,4803,106,9.26
Blue Swimmer Crab,1.0,737,120,9.0
Milkfish,3.8,2062,97,5.28
Snapper,1.6,924,122,5.63
Salmon,3.5,566,169,4.84
Snapper,4.2,1929,143,9.27
King Crab,4.5,954,145,5.77
Soft Shell Crab,2.1,3191,127,4.28
Barramundi,3.4,1336,167,6.76
Dungeness Crab,4.8,2071,113,7.86
Trout,4.3,1195,99,5.34
Blue Swimmer Crab,4.5,1845,105,5.99
Tilapia,4.6,4137,94,9.5
Blue Swimmer Crab,3.9,4393,149,3.71
Catfish,2.3,510,136,4.33
Blue Swimmer Crab,2.8,608,165,6.81
Soft Shell Crab,1.2,1842,146,6.41
Carp,2.4,1803,145,9.29
Tuna,2.5,2751,136,8.64
Tuna,3.8,3481,117,2.08
Catfish,1.7,2507,165,4.56
King Crab,2.7,1920,156,6.78
Whiteleg Shrimp,4.7,3925,162,9.63
King Crab,4.5,4567,128,4.9
Milkfish,1.5,2871,154,6.86
Dungeness Crab,1.5,3585,93,7.48
Blue Swimmer Crab,0.8,1147,149,6.31
Rohu,4.4,842,148,3.53
Tilapia,3.5,3524,174,3.69
Banana Prawn,1.6,1955,166,7.25
Grouper,1.1,1097,96,5.52
Vannamei,4.6,1499,118,5.25
Whiteleg Shrimp,1.8,4861,101,4.17
Black Tiger Shrimp,3.0,1791,146,5.99
Soft Shell Crab,3.6,3429,113,6.75
Tiger Prawn,3.7,2052,144,4.06
Soft Shell Crab,1.2,4947,125,3.71
Banana Prawn,4.3,1420,168,4.74
King Crab,2.8,4331,158,5.6
Banana Prawn,1.4,708,105,5.26
Banana Prawn,4.6,4022,141,9.68
Tuna,1.2,985,120,9.43
Catfish,1.8,3809,177,8.49
Snow Crab,3.9,965,162,8.31
Catfish,4.5,1510,165,5.85
Carp,4.2,639,117,3.31
Soft Shell Crab,2.1,1663,178,7.03
Tiger Prawn,3.8,4633,137,3.14
Banana Prawn,2.7,4588,144,7.84
Tiger Prawn,3.2,3736,94,3.05
Snow Crab,1.9,2041,165,8.69
Rohu,1.4,4071,144,4.68
Black Tiger Shrimp,3.5,4556,98,6.72
Dungeness Crab,3.2,2816,105,6.24
Freshwater Prawn,3.1,4493,160,4.87
Tiger Prawn,2.4,2565,100,3.44
Mud Crab,2.1,2138,165,7.02
Pangasius,4.7,3377,134,9.09
Rohu,0.7,3640,93,7.5
Catfish,2.0,3132,176,9.06
Pangasius,1.6,1482,118,9.48
Pangasius,3.5,3166,124,5.0
Catfish,0.7,1671,153,7.16
Grouper,2.4,2006,128,5.19
Pangasius,1.9,3409,163,8.66
Tiger Prawn,2.4,2355,102,8.1
Grouper,2.3,3207,102,9.67
Whiteleg Shrimp,1.7,4003,139,4.56
Mud Crab,3.1,2075,168,8.01
Mud Crab,2.0,4777,126,8.47
Dungeness Crab,1.6,2685,155,4.39
Seabass,2.2,848,177,9.58
Blue Swimmer Crab,1.9,719,177,6.41
Catfish,3.7,996,109,4.32
Dungeness Crab,0.9,3772,147,5.05
Carp,3.6,4478,117,4.16
Catfish,1.5,3565,157,5.43
Black Tiger Shrimp,4.8,2697,140,2.61
Freshwater Prawn,4.6,3137,138,9.98
Carp,3.3,2733,145,6.75
Freshwater Prawn,2.4,2074,145,3.09
Mud Crab,0.7,1317,179,6.41
Cod,3.8,944,150,5.25
Whiteleg Shrimp,4.7,3715,145,9.81
King Crab,4.5,1914,146,9.17
Catfish,1.2,4303,126,8.02
Carp,3.5,505,101,6.28
Catfish,2.2,526,136,5.07
Soft Shell Crab,4.7,3912,164,3.26
Tuna,2.3,2253,180,9.9
Barramundi,1.0,4150,142,4.72
Tilapia,4.3,4784,122,8.12
Catfish,4.8,1571,138,3.62
Trout,3.2,898,91,2.34
Barramundi,3.3,4748,167,6.82
Snapper,4.4,2503,145,5.83
Tuna,4.0,4564,166,9.2
Carp,2.2,4957,132,8.73
Mud Crab,1.9,3321,149,3.47
Cod,4.2,1509,116,4.93
Vannamei,3.7,4528,119,9.17
Mud Crab,0.6,4445,147,4.87
Barramundi,2.6,4629,171,7.74
Vannamei,3.5,3132,166,2.3
King Crab,2.6,3656,149,8.11
Barramundi,1.2,2739,118,7.58
Freshwater Prawn,4.6,4400,164,8.76
Tilapia,3.4,1051,104,7.54
Dungeness Crab,1.3,1622,130,5.35
Pangasius,4.0,1837,108,5.52
Mud Crab,3.0,2655,125,3.34
Salmon,1.8,1954,156,9.2
Whiteleg Shrimp,4.9,2132,178,9.95
Tuna,4.7,4927,137,2.77
King Crab,3.3,4734,116,2.41
Catfish,1.4,1792,145,3.57
Cod,0.8,2562,129,8.71
Tiger Prawn,3.0,3105,178,8.46
King Crab,3.3,1470,116,7.33
Pangasius,4.1,3929,153,5.47
Black Tiger Shrimp,4.0,4768,130,7.26
Rohu,4.3,3483,172,4.54
Carp,4.5,4880,172,2.41
Black Tiger Shrimp,3.8,3330,142,5.43
Tuna,1.6,4125,130,4.92
Soft Shell Crab,3.6,4833,118,7.82
Tuna,2.1,3174,178,3.84
Vannamei,3.1,2475,92,6.32
Trout,3.3,2254,122,8.03
Blue Swimmer Crab,4.6,3363,130,3.42
Whiteleg Shrimp,1.3,4674,91,7.84
King Prawn,3.7,4090,105,9.46
Salmon,3.1,4179,128,7.37
Vannamei,2.2,2226,92,8.85
Blue Swimmer Crab,1.1,3491,110,4.13
King Crab,2.8,2038,127,6.61
Trout,1.5,4693,157,8.66
Seabass,4.3,1477,178,9.95
Pangasius,3.4,2494,125,3.18
Whiteleg Shrimp,3.5,1870,130,4.32
Carp,1.4,1238,108,3.27
Salmon,1.0,2218,170,6.52
Snow Crab,3.3,3410,122,6.59
King Crab,2.6,2491,136,4.26
Black Tiger Shrimp,0.6,1461,164,5.38
Freshwater Prawn,4.9,4999,105,6.58
Tuna,1.8,1539,130,9.5
Black Tiger Shrimp,1.7,2201,106,7.74
Cod,0.9,2871,92,4.95
King Prawn,3.2,858,149,4.27
Salmon,2.1,4735,165,5.41
King Prawn,2.4,1164,104,2.39
Snapper,4.6,1795,101,5.0
Barramundi,1.8,4270,91,9.85
Banana Prawn,4.2,1392,175,6.22
Black Tiger Shrimp,3.1,3948,152,2.94
King Crab,3.3,629,153,8.69
Dungeness Crab,1.2,3445,170,4.6
Vannamei,0.6,2060,133,8.23
Vannamei,4.3,4232,108,9.4
Seabass,1.0,1877,131,5.45
Freshwater Prawn,0.9,2154,168,4.31
Dungeness Crab,0.6,4462,139,8.61
Blue Swimmer Crab,2.1,2151,91,4.09
Snow Crab,1.3,1360,116,4.35
King Crab,4.4,2710,129,8.11
Salmon,4.0,1502,160,2.91
Mud Crab,3.8,4203,172,6.75
Mud Crab,3.4,697,121,5.19
Carp,2.5,1618,93,6.76
Black Tiger Shrimp,3.4,1120,175,5.64
Soft Shell Crab,3.8,3435,152,9.48
Tilapia,1.5,935,128,3.32
Vannamei,3.5,1297,114,4.11
Black Tiger Shrimp,0.6,3068,97,6.9
King Prawn,3.9,1472,133,6.79
Banana Prawn,1.5,4662,108,4.85
Soft Shell Crab,0.8,4598,131,4.03
Black Tiger Shrimp,2.7,689,164,7.19
Rohu,4.9,3745,127,3.03
Mud Crab,2.5,4922,121,5.32
Dungeness Crab,1.6,2660,118,8.47
Snow Crab,3.9,4115,155,4.12
Freshwater Prawn,0.7,1711,177,6.16
Milkfish,3.6,3008,179,8.99
Grouper,1.5,2833,143,7.22
Seabass,1.3,1221,146,9.46
Snapper,2.7,2559,154,5.29
Snow Crab,1.3,1821,117,2.09
Cod,4.9,2659,114,9.72
Milkfish,3.7,2482,139,8.04
Soft Shell Crab,4.0,3750,128,9.17
Tiger Prawn,1.3,4312,172,3.65
Pangasius,5.0,4039,91,6.55
Snow Crab,1.5,3366,155,4.87
Vannamei,0.7,3721,140,5.17
Trout,4.1,3172,139,8.31
Seabass,3.0,4139,94,5.98
Blue Swimmer Crab,1.8,3876,169,7.44
Milkfish,2.9,748,107,9.2
Tiger Prawn,2.7,3927,160,4.11
Black Tiger Shrimp,1.4,4953,145,3.21
Carp,4.9,2962,124,7.61
Catfish,2.3,3826,180,5.63
Milkfish,2.3,963,154,5.07
Tuna,3.4,3995,166,7.95
Snapper,1.8,4825,135,7.26
Dungeness Crab,0.5,2193,142,4.66
Black Tiger Shrimp,3.8,4305,134,8.49
King Crab,2.7,3612,112,5.75
Whiteleg Shrimp,2.6,4611,141,2.0
Seabass,4.1,3548,95,4.31
Grouper,1.0,4711,90,3.75
Barramundi,1.2,3148,117,3.36
Pangasius,0.7,645,112,6.65
Salmon,3.7,3145,151,3.78
Snow Crab,4.5,4753,108,7.75
Black Tiger Shrimp,4.1,4308,157,6.17
Black Tiger Shrimp,1.6,4080,162,6.79
Rohu,2.6,3006,151,5.71
Milkfish,3.4,1666,121,2.38
Mud Crab,2.0,2976,166,4.82
Blue Swimmer Crab,1.1,1939,102,8.52
Banana Prawn,0.7,1961,93,5.12
Dungeness Crab,2.1,3296,140,2.02
Tilapia,2.7,3387,94,3.55
King Prawn,4.1,2036,130,9.68
Pangasius,2.4,2455,157,9.37
Mud Crab,2.0,2904,115,4.59
Catfish,1.3,4450,127,7.2
Freshwater Prawn,1.7,3714,95,4.4
Cod,2.8,2863,140,2.62
Barramundi,3.0,2935,177,3.04
Pangasius,3.3,1179,122,5.33
Freshwater Prawn,3.7,803,134,3.81
Tilapia,2.2,908,149,6.63
Soft Shell Crab,3.0,1488,131,5.46
King Prawn,3.9,2302,169,5.25
Tiger Prawn,3.8,810,123,8.7
Tilapia,2.0,4086,162,7.36
Salmon,1.6,3544,166,6.57
Carp,2.8,3468,142,6.18
Seabass,2.6,607,175,7.14
Tilapia,2.5,898,146,4.29
King Crab,1.1,3457,156,5.54
Carp,3.0,3291,135,4.65
Black Tiger Shrimp,3.1,3147,145,7.92
Dungeness Crab,4.8,3333,97,5.61
Black Tiger Shrimp,1.5,3526,103,2.9
Salmon,4.6,2466,148,3.05
Seabass,3.1,3943,114,6.59
Barramundi,3.3,1607,106,7.19
Salmon,4.4,633,135,4.2
Grouper,4.0,2721,104,8.66
Grouper,2.8,4341,180,3.58
Cod,0.9,1842,114,9.81
Vannamei,4.3,509,173,8.04
Carp,3.1,642,119,5.75
Trout,0.6,3999,120,9.85
Snapper,2.1,3471,172,6.18
Catfish,3.4,1539,140,2.57
King Crab,2.3,3482,147,3.38
Seabass,4.5,586,164,2.65
Whiteleg Shrimp,1.1,1741,158,4.58
Blue Swimmer Crab,3.2,4928,180,2.21
Mud Crab,4.7,1040,106,9.93
Salmon,3.7,2172,98,8.41
Banana Prawn,3.2,884,94,3.46
King Crab,5.0,575,147,7.17
Milkfish,1.1,3297,165,3.36
Blue Swimmer Crab,3.1,2968,167,4.09
Snow Crab,1.5,2925,180,3.48
Whiteleg Shrimp,3.6,687,148,3.15
Tilapia,4.1,1160,156,6.34
Blue Swimmer Crab,1.7,2201,115,5.73
Vannamei,3.2,4271,127,2.65
Barramundi,2.4,4292,141,4.46
Salmon,2.8,1633,150,2.6
Tiger Prawn,2.5,4632,96,9.34
Pangasius,2.0,927,100,2.4
Whiteleg Shrimp,5.0,4475,159,2.81
Cod,2.0,1411,142,3.32
Pangasius,0.7,858,117,3.43
Snapper,2.0,3191,159,4.72
Tiger Prawn,4.7,2407,139,5.7
Dungeness Crab,3.7,1079,154,8.73
Mud Crab,3.9,737,106,5.44
Carp,4.9,2457,123,8.26
Vannamei,0.8,4331,154,9.24
King Prawn,2.9,813,151,4.39
Seabass,1.7,2150,142,5.43
Milkfish,2.2,4081,123,6.89
Barramundi,1.6,4435,103,5.95
Vannamei,1.9,3787,93,6.52
Whiteleg Shrimp,1.8,1412,96,5.09
Catfish,3.0,2765,90,3.85
Freshwater Prawn,4.7,4766,124,8.41
Cod,3.1,1590,138,8.7
Salmon,0.6,4680,162,9.68
Rohu,1.7,2544,145,3.73
Tiger Prawn,0.7,3084,170,7.83
Tiger Prawn,4.1,3615,126,8.67
Tilapia,0.7,2602,142,7.27
Snow Crab,1.7,4479,148,9.1
Carp,1.2,4851,131,7.47
Seabass,4.4,4638,173,2.57
Salmon,4.8,3631,172,9.67
King Crab,1.4,4097,171,6.99
Freshwater Prawn,2.7,903,154,2.45
Vannamei,0.6,831,124,2.68
Black Tiger Shrimp,3.5,1252,114,9.52
Soft Shell Crab,4.8,1851,165,5.18
Snapper,2.9,2127,97,6.64
Salmon,4.0,1134,148,5.46
King Crab,3.1,3105,164,9.88
Tilapia,2.3,3799,143,5.98
Salmon,2.4,1156,123,4.45
King Crab,0.7,780,98,6.69
Freshwater Prawn,2.3,2727,176,9.8
Tuna,2.2,2247,104,2.7
Tiger Prawn,3.9,4727,118,2.15
Milkfish,0.9,976,109,2.64
Soft Shell Crab,4.4,759,111,3.63
Tiger Prawn,4.2,3662,151,4.14
Trout,3.1,4963,121,2.86
Snapper,2.7,2313,173,3.52
Freshwater Prawn,2.5,3635,165,7.59
Tilapia,1.6,4048,156,3.17
Dungeness Crab,4.5,3348,126,7.95
Barramundi,1.9,520,101,2.72
Blue Swimmer Crab,3.1,2900,154,5.69
King Prawn,4.9,2310,125,3.27
Milkfish,2.8,3605,153,5.4
Tiger Prawn,2.6,2567,178,6.28
Salmon,1.7,1754,124,3.7
Freshwater Prawn,1.2,2019,155,7.52
Grouper,0.9,1111,160,8.49
Cod,4.8,3017,104,5.83
Vannamei,2.2,1694,147,9.06
Pangasius,3.9,746,158,7.06
Trout,4.2,3357,179,4.12
Whiteleg Shrimp,3.4,901,176,8.99
Catfish,2.1,2644,169,4.05
Dungeness Crab,3.7,2960,110,7.41
Tuna,4.5,1645,115,6.76
Mud Crab,4.2,1601,136,2.58
Tuna,2.6,3753,109,9.77
Catfish,1.6,1367,148,9.0
Grouper,0.9,1304,146,8.69
Dungeness Crab,0.8,1421,117,8.9
Soft Shell Crab,1.2,3467,103,7.13
Pangasius,3.2,3434,146,5.87
King Prawn,4.7,1069,135,6.1
Tilapia,3.7,3680,146,8.94
Grouper,3.1,4057,117,6.03
Tiger Prawn,1.1,3363,124,2.72
Salmon,1.3,4766,140,8.09
Whiteleg Shrimp,1.6,576,98,2.85
Tuna,2.6,2824,125,9.31
Whiteleg Shrimp,1.2,1312,105,3.41
Tuna,3.8,3736,138,8.72
Tiger Prawn,1.9,3067,171,4.04
Dungeness Crab,3.2,4932,140,4.81
Whiteleg Shrimp,3.0,3044,102,2.13
Banana Prawn,3.7,3029,180,3.71
Carp,0.6,2954,92,2.53
Banana Prawn,3.7,4610,171,2.86
Soft Shell Crab,1.0,890,122,3.76
Whiteleg Shrimp,4.0,3007,90,3.23
Carp,0.8,3339,113,3.95
Carp,0.7,2961,102,5.89
Banana Prawn,3.9,2959,114,9.09
Dungeness Crab,1.9,3802,168,6.74
King Crab,3.8,1896,160,5.18
Trout,1.0,3645,180,4.5
Vannamei,3.4,2027,99,8.6
King Prawn,4.4,2988,136,7.04
Barramundi,4.7,3426,112,8.95
Cod,2.6,1191,168,2.32
Snow Crab,4.9,3853,147,3.41
Snapper,1.0,646,156,8.18
Dungeness Crab,1.2,4293,156,2.32
Snapper,1.6,2731,154,4.53
Vannamei,1.4,1330,169,5.58
Trout,3.9,2191,137,8.15
Tiger Prawn,4.3,4447,90,8.13
Trout,2.7,1773,137,6.48
Vannamei,2.9,3435,169,4.69
Tiger Prawn,3.5,1432,126,4.33
Tuna,1.0,1873,159,6.61
Blue Swimmer Crab,4.9,2291,109,9.53
Carp,0.7,3385,163,6.69
Barramundi,4.3,1869,123,9.56
Pangasius,4.1,4035,131,8.46
Pangasius,2.8,4697,115,3.65
Whiteleg Shrimp,1.1,4332,130,7.2
Pangasius,0.7,3690,156,7.7
Pangasius,2.8,596,158,7.76
Cod,2.3,2512,134,9.63
Blue Swimmer Crab,2.6,3161,98,5.63
Rohu,2.0,4665,118,9.22
Tuna,1.2,2912,90,6.18
Rohu,0.7,2258,152,4.37
Trout,0.6,908,141,4.72
Barramundi,4.0,3249,154,8.2
Carp,3.4,2495,113,4.69
Blue Swimmer Crab,3.6,4053,143,9.3
Barramundi,3.4,825,124,9.17
Banana Prawn,4.5,3317,133,2.52
King Prawn,2.7,3687,137,2.16
Tilapia,2.5,2731,156,3.98
Grouper,2.9,2409,163,6.58
King Crab,1.2,1183,144,8.2
Tiger Prawn,0.6,4801,158,9.52
Pangasius,1.7,1944,175,2.14
Vannamei,5.0,907,126,4.36
Salmon,2.1,2878,159,9.36
Freshwater Prawn,1.0,1579,169,6.14
Mud Crab,1.7,687,96,9.35
Soft Shell Crab,1.6,2356,119,6.56
Whiteleg Shrimp,3.5,3705,119,3.85
Whiteleg Shrimp,0.6,4048,96,4.2
Whiteleg Shrimp,4.0,4667,99,2.27
Trout,0.7,874,148,6.8
Rohu,4.7,1579,123,9.28
Mud Crab,4.3,2707,163,9.98
Snow Crab,3.5,3945,128,3.19
Carp,2.0,1060,114,2.77
Seabass,1.2,1314,107,2.19
Banana Prawn,3.1,2990,99,9.86
Trout,3.8,3151,91,5.84
Trout,2.2,1162,118,3.29
Tiger Prawn,1.9,2129,177,9.2
Vannamei,2.4,872,159,3.78
Snow Crab,3.2,2443,167,7.73
Tilapia,3.3,2050,102,5.61
Salmon,2.2,1508,105,4.38
Milkfish,1.2,3776,127,9.14
Milkfish,0.6,2842,170,4.88
Soft Shell Crab,4.4,1160,139,6.23
Snow Crab,4.6,3139,114,3.5
King Crab,2.3,2106,92,6.48
Dungeness Crab,2.2,1581,180,8.64
Tiger Prawn,3.0,4275,174,5.68
Grouper,4.1,2691,121,6.82
Mud Crab,1.3,2998,155,2.47
Whiteleg Shrimp,1.7,4731,165,2.71
Grouper,3.8,2282,120,4.15
Catfish,4.1,2743,112,5.4
Carp,3.4,2037,111,8.85
Whiteleg Shrimp,4.5,560,120,8.99
Pangasius,1.7,2221,137,8.06
Trout,1.8,1907,172,2.78
Soft Shell Crab,2.0,3117,117,6.7
Trout,1.2,2052,94,9.36
Snow Crab,4.2,2739,141,8.78
Salmon,2.9,555,132,8.87
Seabass,4.2,4335,125,2.42
Tiger Prawn,3.3,2594,101,9.06
Snapper,2.9,1447,118,7.67
Tuna,4.5,2569,142,7.08
Catfish,4.0,1182,169,8.73
Catfish,4.1,1406,111,2.03
Freshwater Prawn,2.6,3166,140,9.94
Blue Swimmer Crab,3.7,2847,136,5.32
Cod,1.4,824,95,3.26
Grouper,4.3,2547,102,4.8
Trout,2.2,2358,151,5.92
King Crab,4.9,3339,100,5.96
King Crab,3.0,3541,106,4.92
Catfish,4.6,3005,94,3.89
Snow Crab,1.1,2670,178,2.65
Cod,4.3,1060,126,6.15
Blue Swimmer Crab,2.6,4836,116,7.29
Black Tiger Shrimp,4.3,3553,165,5.5
Snow Crab,3.9,2591,124,6.86
Mud Crab,2.9,4207,171,2.19
King Prawn,3.6,3803,178,6.08
Catfish,2.3,1414,133,9.96
Black Tiger Shrimp,2.2,3631,169,7.53
Black Tiger Shrimp,2.5,3904,180,2.77
