Country,State,Supplier_Name,Species,Seed_Quality_Rating,Contact,Distance_km
Thailand,Missouri,Wells-Diaz,Black Tiger Shrimp,4,4528747631,193.1
Bangladesh,Massachusetts,Mcconnell Ltd,King Crab,4,001-801-487-0718x399,60.3
Indonesia,Maryland,Gibbs Inc,Mud Crab,4,(355)770-0177,115.1
Thailand,Nevada,Drake PLC,Blue Swimmer Crab,4,3915523599,148.1
Thailand,Utah,Young-Reed,Tilapia,3,001-405-940-1869x4172,113.2
Bangladesh,Delaware,Bradley-Kaiser,Cod,5,646.702.9279x10858,33.7
Vietnam,Kentucky,Russell-Patterson,Trout,4,501-466-8665x044,43.8
Indonesia,Louisiana,Alvarez Group,Cod,4,734.238.4089,158.7
Bangladesh,Arkansas,Gray-Raymond,Blue Swimmer Crab,5,383-248-7382x15400,172.1
Bangladesh,Virginia,Garrett LLC,Mud Crab,3,4249504385,110.9
Indonesia,Michigan,Evans-Rodriguez,Snow Crab,4,741.949.6263,27.3
Indonesia,Illinois,Carlson-Rogers,Mud Crab,3,472.997.7567,9.2
Thailand,Oregon,Scott PLC,Milkfish,5,(268)379-7218,72.6
Thailand,Florida,"Brewer, Jenkins and Wong",Grouper,5,498.462.0809,97.8
India,New Mexico,King-Reynolds,Snapper,4,5172364177,167.9
Vietnam,Nevada,"Odonnell, Howell and Lucas",Seabass,4,001-456-495-8836x369,61.4
Indonesia,New Jersey,"Vang, Johnson and Kline",Snapper,4,001-700-361-9569x842,19.4
Indonesia,South Carolina,Myers LLC,Seabass,4,2502542506,125.5
Vietnam,Georgia,Morris-Wright,Whiteleg Shrimp,3,9728378421,55.0
Bangladesh,Connecticut,"Willis, Baker and Brooks",Tiger Prawn,4,205-509-6073x2775,34.4
India,Kentucky,Landry-Brown,Trout,5,+1-784-550-2525x43050,139.5
India,Utah,Gray-Cooley,Mud Crab,5,(357)443-5586,150.3
Bangladesh,Kansas,"Gardner, Brown and Smith",Whiteleg Shrimp,4,2524759089,40.9
Bangladesh,Vermont,"Smith, Hanson and Garcia",Tuna,5,948.486.6051x859,94.9
Thailand,Oregon,Johnson-Watkins,Black Tiger Shrimp,3,001-930-958-0082,131.5
Thailand,New Jersey,Benson Inc,Rohu,4,(323)963-0872x62700,41.6
Indonesia,Arkansas,Washington-Smith,Milkfish,3,+1-671-203-8569x1794,198.4
Vietnam,Alaska,Preston PLC,Mud Crab,5,001-403-691-8128x5441,144.4
Thailand,Montana,"Jimenez, Miller and Clark",Salmon,5,416-843-5078x4462,156.0
Bangladesh,West Virginia,Hamilton Ltd,Carp,3,(638)434-8930x756,8.2
India,Idaho,"Evans, Taylor and Burgess",Whiteleg Shrimp,3,001-744-444-3195x82084,47.0
India,Michigan,Hill and Sons,Snapper,5,(615)410-5923,53.3
Indonesia,Virginia,York Group,Rohu,3,382.832.5354x1755,41.0
Vietnam,Maine,"Johnson, Miller and Tucker",Salmon,5,001-520-611-3570x5158,67.2
Bangladesh,Virginia,"Davis, Eaton and Lee",Vannamei,5,(709)456-7125,4.7
Bangladesh,South Carolina,Kennedy and Sons,Salmon,4,350.314.9124,122.9
India,Alabama,Green Ltd,Black Tiger Shrimp,3,(547)348-9559x1865,73.8
Indonesia,Delaware,Walters-Porter,Snow Crab,4,299-436-2329x751,154.7
Vietnam,Vermont,Brown-Riley,Tilapia,3,801.540.1644x5833,136.2
Indonesia,California,Conley-Vaughn,Whiteleg Shrimp,3,+1-746-736-8873,6.8
India,Alabama,Cobb Inc,Vannamei,3,+1-422-219-1572,99.9
Bangladesh,Wyoming,Simmons-Murphy,Seabass,5,786.416.7804,73.9
Thailand,New Hampshire,Robertson and Sons,Barramundi,4,442.902.8058x78450,78.9
Thailand,Indiana,Stevens-Vargas,Freshwater Prawn,3,(862)981-2746x8717,152.4
Bangladesh,Georgia,"Lewis, Thomas and Sanders",Grouper,4,823-597-3830,81.8
Indonesia,Vermont,"Garcia, Navarro and Alvarado",Tiger Prawn,3,(748)792-7194,199.6
Bangladesh,Texas,Henderson Ltd,Vannamei,4,294.527.4073x58672,96.4
India,Rhode Island,Gonzalez-Wilson,Catfish,3,975.919.9082,20.7
Thailand,Colorado,"Erickson, Alvarado and Lee",Banana Prawn,3,(439)906-5617,139.2
Indonesia,South Carolina,"Price, Henderson and Williams",Dungeness Crab,3,344.444.5636x22034,88.5
Vietnam,Alaska,"Rhodes, Lang and Torres",Whiteleg Shrimp,3,672.247.0250x782,100.2
Vietnam,Hawaii,Williams PLC,Tilapia,4,5765513682,78.0
India,Rhode Island,Rice Group,Banana Prawn,3,(565)348-4508x287,79.7
Bangladesh,Kentucky,Meyers-Park,Carp,4,(956)854-3930x78123,63.5
Vietnam,Louisiana,Smith LLC,King Prawn,4,9854496455,9.4
Thailand,Utah,"Fitzgerald, Johnson and Palmer",Grouper,3,558.873.7161x3047,151.3
Indonesia,Illinois,Arnold-Reeves,Mud Crab,4,381.278.4180,188.6
Bangladesh,Kentucky,"Perez, Morales and Fowler",Dungeness Crab,5,374-621-8011x16367,28.3
Indonesia,Georgia,"Wallace, Ford and Yates",Catfish,3,5593172286,72.7
India,Mississippi,"Adams, West and Carrillo",King Crab,5,(948)997-0226,176.5
Indonesia,Idaho,Nichols PLC,Vannamei,4,398-654-7321,193.0
Thailand,Nevada,"James, Jennings and Oneal",Banana Prawn,5,592.898.2731x6252,54.8
Thailand,Connecticut,Sanchez-Smith,Black Tiger Shrimp,3,+1-699-720-0950x20853,152.2
Indonesia,Nevada,"Chase, Romero and Williams",Cod,3,922.664.4282x6177,55.9
Indonesia,Kentucky,Watson-Knox,Cod,4,251.600.5334x904,178.8
Thailand,Oklahoma,Moore-Foster,King Crab,3,315-404-5050x784,5.4
Bangladesh,South Dakota,Gibson and Sons,Rohu,4,361.335.5198,166.9
Indonesia,California,"Vargas, Hickman and Williams",Barramundi,3,266-376-5140,117.9
Thailand,Nevada,Frank-Chaney,Whiteleg Shrimp,3,001-933-302-9264,24.7
India,Maryland,"Carlson, Smith and Serrano",Whiteleg Shrimp,3,356-494-1714,140.5
Bangladesh,Delaware,"Carroll, Payne and Ramirez",Whiteleg Shrimp,3,(566)381-7472x16999,101.3
Bangladesh,Nevada,"Holmes, Gomez and Rivera",Salmon,4,(688)285-2431x8780,107.8
Vietnam,New Mexico,"Kidd, Skinner and Russell",Banana Prawn,5,(377)612-5752x039,127.6
Vietnam,Illinois,"Luna, Hutchinson and Hendrix",Black Tiger Shrimp,3,001-576-950-7072x22059,138.8
Thailand,Arkansas,"Wilson, Clark and Collier",Tilapia,4,8713908974,191.2
India,New York,Scott-Middleton,Freshwater Prawn,4,513.947.6073x299,85.6
India,Tennessee,Johnson Inc,Pangasius,4,5555971712,156.1
Bangladesh,North Dakota,Crosby-Dixon,Snow Crab,3,217-737-1291x52285,48.6
India,Pennsylvania,Kennedy-Scott,Barramundi,5,(479)630-5613,58.9
India,Tennessee,Wiggins Inc,Catfish,5,804.543.1436,105.7
Bangladesh,Nebraska,"Walker, Cruz and Mcdaniel",Pangasius,5,(459)274-5417x8105,11.8
Indonesia,Indiana,"Fisher, Grant and King",Carp,4,666-567-3093,55.8
India,Pennsylvania,Hunter PLC,Tilapia,5,+1-578-581-8402x84391,127.7
Indonesia,Kansas,Brooks-Davidson,Catfish,3,(233)875-3568,54.6
Indonesia,South Carolina,Cortez-Watson,Mud Crab,3,001-500-284-4581x734,14.5
Vietnam,West Virginia,Kennedy-Reese,Dungeness Crab,4,+1-412-471-0910,145.4
Indonesia,Connecticut,Smith-Cohen,Barramundi,3,(233)914-5265x27676,67.4
India,Tennessee,Martinez and Sons,Dungeness Crab,4,443-494-9911x8609,11.2
Thailand,Minnesota,"Chapman, Stephens and Ramos",Pangasius,3,640-467-7207,139.7
Vietnam,Nevada,Nelson-Morris,Seabass,3,(943)916-5279x31966,78.5
India,Kansas,Fuller-Russell,Rohu,3,001-887-581-9332x4026,109.5
Thailand,New York,Jackson-Griffin,Grouper,5,5937298436,77.7
Vietnam,Arizona,House LLC,Soft Shell Crab,5,464-264-6042x00652,25.2
India,Kentucky,Lee-Swanson,Vannamei,5,001-584-786-4440x46839,175.8
India,Idaho,Cabrera and Sons,Milkfish,4,(721)989-7068,137.0
Thailand,Texas,"White, Bond and Johnson",King Crab,3,5716918314,100.3
Indonesia,Hawaii,Lane Ltd,Carp,3,8316464538,174.4
Thailand,Indiana,Stewart Group,King Crab,4,+1-778-960-0424,59.5
Bangladesh,Connecticut,Johnson-Miles,Tuna,5,(549)965-9888,129.2
Indonesia,North Dakota,Lowe PLC,Tilapia,5,001-754-640-1754x40326,93.4
Bangladesh,Illinois,Smith-Pierce,Tuna,5,850.961.4945x740,108.1
Vietnam,Pennsylvania,Peters Group,King Prawn,3,(416)537-3243,64.8
India,Delaware,Patrick PLC,Banana Prawn,3,578.538.6731,114.3
Bangladesh,Alabama,Sandoval Group,Black Tiger Shrimp,5,(484)816-8795x6745,129.4
Bangladesh,Connecticut,"Taylor, Perez and Lowe",Milkfish,5,837-941-5832x8338,31.8
Vietnam,Arizona,"Miller, Villanueva and Dominguez",Rohu,5,(455)205-6287,175.7
Thailand,Hawaii,Conrad PLC,Tiger Prawn,5,+1-919-906-1488x5195,1.7
Thailand,Mississippi,Vang-Allison,Pangasius,3,248.964.5454x00522,21.2
India,Florida,"Campbell, Sampson and Hill",Tilapia,5,+1-547-232-1942,2.0
Bangladesh,Utah,Mcgee Ltd,Dungeness Crab,3,294.424.5947x1674,139.2
Indonesia,Wyoming,"Nicholson, Cook and Massey",Dungeness Crab,4,(309)324-8710x16458,177.6
Bangladesh,Wyoming,"Anderson, Williams and Mcdonald",Rohu,3,646.636.8625x1617,60.4
Bangladesh,Illinois,Davis-Garcia,Barramundi,5,001-689-724-5416x267,86.6
Vietnam,Iowa,"Brooks, Mitchell and Miller",Soft Shell Crab,3,001-559-596-8060x22419,23.0
Vietnam,Oregon,Livingston LLC,Vannamei,4,558-958-0741x253,8.7
Vietnam,Florida,Garcia-Dixon,Mud Crab,4,(370)422-7619,79.3
Vietnam,Maine,Cordova-Boyd,Black Tiger Shrimp,4,+1-768-669-1578x41673,88.5
Vietnam,South Dakota,Williams-Harris,Barramundi,5,8896708656,128.9
Thailand,California,"Ross, Campbell and Mercado",Snapper,4,5108345940,196.0
Vietnam,Virginia,"Haas, Davis and Wong",Blue Swimmer Crab,3,206.399.1442,174.3
Thailand,Oregon,Murray-Garner,Dungeness Crab,4,625.280.3434x408,126.6
Thailand,Mississippi,Morris and Sons,Soft Shell Crab,4,(310)448-2453x93706,102.9
Vietnam,Nebraska,"Peterson, Torres and Kelly",Seabass,4,914-821-9030x04811,83.0
Indonesia,Ohio,"Farrell, Hill and Reynolds",Salmon,5,217-693-0801x57341,79.6
Vietnam,Nevada,"Hall, Davis and Bentley",Freshwater Prawn,3,+1-337-525-5025x10582,20.1
Indonesia,Georgia,Gonzalez PLC,Milkfish,3,+1-583-767-3394x4077,19.9
Thailand,Maine,Alvarado Ltd,Carp,4,749-711-0703,138.8
Thailand,Nebraska,Sherman-Adams,Freshwater Prawn,5,+1-613-961-0872x48714,39.4
Bangladesh,West Virginia,Joseph PLC,Tuna,4,733.746.8879,91.0
India,Vermont,"Lopez, Downs and Davis",Barramundi,3,(514)888-9416x2086,105.3
Thailand,Kansas,"Perez, Alvarez and Martinez",Catfish,4,984.808.9091x38975,7.0
India,Delaware,"Jenkins, Fisher and Orr",Banana Prawn,3,+1-470-287-4440x089,42.1
India,Connecticut,Lewis Ltd,Tuna,4,246.263.9636,9.7
Vietnam,Florida,"Hayden, Meyer and Pacheco",Grouper,3,+1-860-210-8004,17.7
Bangladesh,Oklahoma,"Pruitt, Kelly and Smith",Mud Crab,4,+1-694-966-0489,97.4
India,Louisiana,"Fernandez, Hernandez and Powell",Snow Crab,3,270.486.6769x8652,197.3
Indonesia,Minnesota,Frost-Jimenez,Tiger Prawn,5,+1-496-943-8585,150.5
Thailand,Virginia,Jones Inc,Trout,4,+1-838-684-9458,88.7
Indonesia,Tennessee,"Gillespie, Jones and Hoover",Trout,3,385.344.6242x966,172.8
Indonesia,Alabama,Reid Ltd,Rohu,3,+1-672-557-6680,125.1
Bangladesh,Texas,"Ruiz, Gibson and Rollins",Carp,5,(795)581-3478,81.1
Bangladesh,Louisiana,Tapia Ltd,King Prawn,5,(460)251-5700x060,154.1
Bangladesh,New York,Garcia-Campbell,Catfish,3,4143312197,175.5
India,Wisconsin,Gordon-Gardner,Black Tiger Shrimp,3,(384)411-7889,180.7
India,Delaware,Costa Ltd,King Prawn,4,920.429.6923x05726,54.6
Vietnam,New Hampshire,"Myers, Moore and Ashley",Mud Crab,3,001-731-776-8682,31.4
Indonesia,West Virginia,Davis LLC,Salmon,3,234.334.7550x760,3.4
Vietnam,Colorado,Sullivan-Campbell,Tilapia,4,(298)684-5811,155.5
Bangladesh,Montana,Mullins Ltd,King Prawn,3,974-492-1887,187.7
India,Virginia,Davis LLC,Barramundi,5,7219316468,166.9
India,Ohio,Ford and Sons,Vannamei,5,928-970-2234x00271,139.2
Thailand,Illinois,"Solis, Bush and Bailey",Vannamei,5,001-574-263-9619x745,59.1
Thailand,Illinois,Hill PLC,King Prawn,3,+1-972-456-5736,166.7
Vietnam,Arizona,Harris-Robinson,Tilapia,3,(863)882-9991x5796,42.6
Indonesia,Maryland,"Gonzalez, Anderson and Anderson",Barramundi,5,394-495-0656,173.9
Thailand,Washington,Shelton-Mcclain,Tuna,3,001-344-218-9896x8934,170.2
India,North Dakota,"French, Parker and West",Grouper,4,537-473-9639x198,17.7
Bangladesh,Vermont,Taylor LLC,Snapper,4,511-809-3906x12619,184.5
Indonesia,Rhode Island,Todd Group,Banana Prawn,3,593.574.6248x14234,108.7
Bangladesh,Nebraska,Gomez-Green,Vannamei,3,001-874-956-6006,64.1
Thailand,Utah,Wallace-Lamb,Rohu,5,001-934-573-2152,66.3
Vietnam,West Virginia,"Hendricks, Soto and Mcpherson",King Prawn,5,001-611-821-6702x59911,182.2
Bangladesh,Kansas,Schmidt-Jones,Grouper,3,(254)564-5448x6544,78.8
India,South Carolina,Stevens-Sanchez,Vannamei,4,(265)719-8927x76574,180.6
Vietnam,Arizona,"Lewis, Young and Hernandez",Trout,4,001-582-374-5712x1817,115.3
India,New Mexico,Smith-Martin,Black Tiger Shrimp,4,(305)565-6154,8.1
Bangladesh,Louisiana,Lang Ltd,Salmon,3,(864)646-0099x9163,122.4
Indonesia,Utah,"Bryant, Wolf and Kennedy",Black Tiger Shrimp,5,205.292.7486x0002,110.2
Vietnam,Montana,Tran-Norris,Pangasius,4,001-676-884-7871,131.0
Thailand,Tennessee,Perry and Sons,Soft Shell Crab,5,563.392.5459x558,181.5
Thailand,Wyoming,Leonard-Martinez,Banana Prawn,5,825-642-4595,57.9
India,New Hampshire,Jackson-Baker,Whiteleg Shrimp,3,001-346-443-0346x78273,107.7
Bangladesh,Texas,Patel Ltd,Tiger Prawn,5,+1-949-353-7086x36122,52.9
Bangladesh,Rhode Island,Cortez PLC,Vannamei,4,(922)630-0806x85091,48.4
Vietnam,Tennessee,Grimes Inc,Pangasius,4,7516079298,92.4
Vietnam,Connecticut,"Lee, Roach and Suarez",Cod,5,910-553-6594,72.1
Bangladesh,Minnesota,"Mendoza, Ryan and Mclean",Rohu,4,(386)607-3129,126.9
Bangladesh,Tennessee,Curtis Inc,Tiger Prawn,5,001-231-667-8164x259,160.1
Vietnam,Oregon,"Molina, Huff and Becker",Catfish,4,001-715-621-5406x1412,41.2
Indonesia,Missouri,"Bradshaw, Oconnor and Love",Barramundi,3,682.324.5365,95.9
India,Michigan,Stewart Ltd,Pangasius,3,(952)207-3204x616,126.4
Bangladesh,Pennsylvania,Sanchez Group,Mud Crab,5,534.571.3460x5518,157.4
India,Indiana,"Adkins, Scott and Miller",Carp,3,278-591-9077,163.6
Vietnam,Oklahoma,Morris Inc,Vannamei,5,+1-516-228-7538x54285,173.7
Bangladesh,Alaska,Wade-Garcia,Mud Crab,3,+1-848-519-8648x377,91.2
Vietnam,New Mexico,Blanchard Inc,Tilapia,4,659-222-6441,105.4
Thailand,Connecticut,Stanley-Torres,Milkfish,4,+1-393-453-6033,92.4
Thailand,Idaho,James-Davis,Tiger Prawn,5,328-881-5622,37.6
Indonesia,Missouri,Cox-Young,Vannamei,4,326.884.0250x059,155.4
Thailand,Minnesota,"Baxter, Richardson and Chen",Catfish,4,+1-220-634-2327,70.5
Indonesia,Colorado,Williams Group,King Prawn,3,+1-423-327-3047x30872,16.4
Indonesia,Idaho,Ball Ltd,Blue Swimmer Crab,4,799.964.6924x772,17.3
Bangladesh,Alaska,Bradley PLC,Pangasius,4,(506)636-1801,155.7
India,Georgia,Lucas LLC,Tiger Prawn,4,399.237.7694x36405,137.5
Indonesia,Colorado,Bullock Inc,Milkfish,5,675-612-3418,104.7
India,Iowa,"Smith, Riley and Sanford",Vannamei,5,001-965-613-6422x127,116.5
Bangladesh,Vermont,"King, Douglas and Guerra",Blue Swimmer Crab,5,318.489.7478x86225,67.4
Indonesia,Indiana,Kim Ltd,Rohu,3,950.316.5486x417,14.3
Vietnam,Mississippi,Walker Inc,Mud Crab,5,001-477-670-8298x596,92.9
Vietnam,Maryland,Chang LLC,Dungeness Crab,3,(724)813-6490,103.8
Indonesia,Michigan,"Kim, Kim and Johnson",Dungeness Crab,5,963.773.4870,2.0
Indonesia,Oregon,Tran-Smith,Pangasius,3,001-647-631-6681,52.3
Vietnam,Idaho,Stewart-Porter,Carp,4,6956022973,80.0
Thailand,Louisiana,"Lynch, Peterson and Moody",Black Tiger Shrimp,4,631-852-3608,171.1
Indonesia,Rhode Island,"Williams, Bennett and Keith",Black Tiger Shrimp,5,(731)226-2303x03660,27.9
India,Pennsylvania,"Steele, Phillips and Leonard",Vannamei,3,278.665.4311,47.3
India,California,Mckinney-Taylor,Tuna,3,907.488.5261x071,19.5
Vietnam,New Mexico,"Baker, Butler and Ward",Snapper,5,+1-869-701-6248x040,87.6
Vietnam,Florida,Hancock-Jordan,Tiger Prawn,3,758.922.9438,195.0
Indonesia,Delaware,Jones Ltd,Trout,3,(247)791-9663,174.6
India,Delaware,"Sweeney, Mcneil and Torres",Whiteleg Shrimp,5,982.495.3447x85040,148.4
Indonesia,Connecticut,Clark-Hays,Salmon,3,313.761.8655,46.8
Bangladesh,Iowa,"Gonzales, Hernandez and Gonzalez",Milkfish,3,+1-313-725-1375x08932,48.5
Bangladesh,Indiana,Glass PLC,Seabass,5,(630)297-0944,21.5
Bangladesh,Iowa,Dixon-Cunningham,Soft Shell Crab,4,7456712641,82.3
India,Hawaii,Clark-Warren,Banana Prawn,3,001-911-349-5397,195.8
Bangladesh,Oklahoma,"Romero, Sims and Davis",King Prawn,4,(346)794-0749,111.7
India,Louisiana,Ramirez-Sharp,Carp,4,(499)332-8532x869,72.9
India,New Mexico,Thompson Ltd,Tiger Prawn,5,258-521-2325,17.2
Vietnam,Connecticut,"Gordon, Walters and Alexander",Freshwater Prawn,3,+1-557-534-6443x5659,127.2
Indonesia,Hawaii,Lopez-Cruz,Black Tiger Shrimp,4,594.355.3008x97861,64.5
India,Vermont,"Moore, Mitchell and Rodriguez",Tilapia,4,424.489.6488x8455,21.9
Vietnam,Minnesota,"Moore, Brown and Russo",Grouper,3,646.592.9031x289,104.2
India,Vermont,Wolfe Group,Whiteleg Shrimp,5,001-788-226-9660,155.2
Indonesia,New Jersey,Simmons Group,Snow Crab,4,(723)524-5905,186.9
India,Alabama,"Li, Washington and Jacobson",Whiteleg Shrimp,3,001-655-345-1596x066,89.0
Vietnam,Wisconsin,Vaughn and Sons,Whiteleg Shrimp,3,542.233.9928x196,94.6
Indonesia,Missouri,Watts Group,Barramundi,3,001-937-804-2727x8951,119.0
India,Texas,"Shah, Smith and Clements",Milkfish,4,633-839-3851x9086,25.0
Bangladesh,Montana,Kane-Joseph,Tiger Prawn,5,697.887.2613x8759,74.7
Bangladesh,Nevada,Gibson Inc,Soft Shell Crab,5,(987)233-7046,111.0
Indonesia,South Dakota,"Barber, Henderson and Livingston",Catfish,3,(643)909-8075,45.7
Vietnam,Tennessee,"Stevenson, Rivera and Sutton",Dungeness Crab,4,525.838.3859,129.6
Thailand,Nevada,"Kim, Jones and Hernandez",Banana Prawn,3,389-944-1866x595,120.1
Indonesia,Louisiana,Ramirez-Bridges,Milkfish,3,461-226-4227,175.7
Thailand,Indiana,Evans Group,Pangasius,5,798-473-5438,194.2
India,Georgia,Schwartz Inc,Black Tiger Shrimp,4,+1-741-592-8948x072,39.3
India,Ohio,Alvarado-Salazar,Tiger Prawn,4,001-617-828-6633,26.9
Vietnam,New Mexico,Bond-Mendoza,King Crab,5,913.682.9353x53893,107.7
Indonesia,South Dakota,Flynn-Nguyen,Banana Prawn,5,(630)644-5899x6958,168.7
Bangladesh,Wisconsin,Reyes-Watkins,Catfish,4,(666)909-8718,8.1
Thailand,Montana,Brown-Odom,Vannamei,5,315.650.7118x5975,10.0
Vietnam,Texas,Nguyen PLC,Black Tiger Shrimp,5,8955257469,59.0
India,Wisconsin,Johnson-Williams,Rohu,5,(912)622-2201,70.4
India,Rhode Island,Parker-Myers,Soft Shell Crab,3,(305)540-4494,125.0
Bangladesh,Colorado,Williams and Sons,Soft Shell Crab,4,813.848.4103x409,113.6
India,Wisconsin,Brown PLC,Pangasius,3,9342657357,88.2
Vietnam,Illinois,Beard PLC,Rohu,3,+1-434-622-3033,37.7
India,Arkansas,Reid-Moore,Tuna,5,240-899-5158x324,29.4
India,Missouri,Tanner LLC,Milkfish,4,001-243-980-9621x858,133.4
India,Mississippi,Duran-Walsh,Catfish,5,001-771-293-1928x9510,33.8
Bangladesh,Colorado,"Reed, Alvarado and Anderson",Seabass,5,324-278-3951x5579,60.5
India,Indiana,Padilla LLC,Black Tiger Shrimp,5,(326)673-2781,160.2
India,Pennsylvania,Graham and Sons,Snow Crab,3,(628)746-1124x87374,184.5
India,New York,Marsh-Garcia,Blue Swimmer Crab,5,+1-550-282-1721x0022,81.3
Vietnam,Nebraska,Ramos Inc,Snow Crab,5,842-759-7115,110.5
India,Kansas,Rubio LLC,Mud Crab,4,252.908.1679,188.9
Thailand,Indiana,Dyer-Lewis,King Crab,3,837-557-0160x6015,42.1
Thailand,Tennessee,"Bauer, Hall and Jordan",Snapper,5,+1-388-226-4430x0569,141.3
India,Connecticut,Love-Smith,Barramundi,3,926-675-5175,172.0
Thailand,Maryland,Gilmore-Dawson,Carp,3,+1-710-367-3449x71960,150.2
Vietnam,Alaska,Dixon PLC,Soft Shell Crab,4,001-439-253-9394x85827,153.1
India,Texas,"Barber, Hudson and Warren",Rohu,4,+1-281-909-4687x8285,109.2
Indonesia,Iowa,"Welch, Davis and Ferguson",Barramundi,3,+1-937-208-6457,106.4
Vietnam,Iowa,Whitehead-Weiss,Blue Swimmer Crab,4,+1-260-830-3703x9814,190.9
Bangladesh,Rhode Island,"Jackson, Hendricks and Burgess",Banana Prawn,5,2589358679,198.0
Bangladesh,Massachusetts,Thompson-Hammond,Soft Shell Crab,5,347.733.1015,113.9
Indonesia,South Dakota,"Clark, Hill and Martin",Snapper,3,001-343-560-4661x85818,163.1
Thailand,New Hampshire,Yu Ltd,Trout,5,351.665.2872,116.3
Bangladesh,Illinois,Conway-Spencer,King Prawn,3,001-528-755-8919x13119,88.2
Indonesia,Wisconsin,Cook Group,Black Tiger Shrimp,5,+1-583-490-4207x5269,54.7
Thailand,Washington,"Harrison, Bolton and Howard",Snapper,3,8784508595,170.8
Vietnam,Alaska,"Gomez, Scott and Castillo",Milkfish,5,(847)845-7393,7.3
Vietnam,Pennsylvania,Bailey-Schultz,Barramundi,3,611-864-6499,109.7
Vietnam,Oregon,Ruiz-Hill,Dungeness Crab,5,714-808-9379,184.8
Indonesia,Maryland,Kramer-Murphy,Dungeness Crab,4,001-898-358-9220x339,119.5
India,Texas,"Keller, Beck and Pena",Soft Shell Crab,4,507-812-3017,115.0
Bangladesh,Arkansas,Phillips Group,Black Tiger Shrimp,5,3302389988,57.8
Bangladesh,Mississippi,Bailey-Harris,Barramundi,3,(781)316-9877,168.9
Indonesia,Iowa,Copeland Group,Tiger Prawn,3,(515)775-2826,129.3
India,Hawaii,"Green, Smith and Blair",Trout,4,998.867.2556,62.9
India,New York,Wyatt Group,Dungeness Crab,5,4137599236,193.0
Vietnam,Alabama,Valdez Group,Tilapia,3,652-680-6375x1140,79.6
Indonesia,Pennsylvania,Davis-Wyatt,Tiger Prawn,4,001-844-229-1081,167.6
Thailand,Missouri,Greer-Larsen,Snow Crab,3,259-710-3603x769,184.5
India,Iowa,Parker LLC,Blue Swimmer Crab,3,324-471-6649,44.1
Bangladesh,South Dakota,"Scott, Wallace and Sanchez",Snapper,4,983-945-7935x79301,100.4
Vietnam,Arizona,"Cunningham, Anderson and Harris",Carp,3,001-880-341-0187x4645,173.9
Vietnam,North Carolina,"Flynn, Graham and Williams",Barramundi,5,(956)834-1583x88102,144.9
India,Louisiana,Welch-Allen,King Crab,3,+1-325-388-5577x239,192.3
Bangladesh,Maryland,Smith and Sons,Catfish,5,+1-647-649-1761x79394,135.0
India,Oklahoma,Johnson and Sons,Tuna,4,303.863.5513x232,10.6
Bangladesh,South Carolina,Ramirez-Fletcher,Freshwater Prawn,5,285-851-1847x75544,196.3
Indonesia,Mississippi,Gregory-Thomas,Soft Shell Crab,4,001-279-684-4826,40.6
India,Texas,"Bruce, Thompson and Johnson",Catfish,5,(333)872-6806x886,10.3
India,Arkansas,Smith-Rivera,Dungeness Crab,5,989.419.8204x34755,128.3
Bangladesh,Idaho,Lee-Ramirez,Carp,5,+1-386-861-6235,110.4
Indonesia,Montana,Watson-Hurst,King Prawn,3,342.693.6508,31.0
Bangladesh,New Jersey,Hamilton-Mccarthy,Black Tiger Shrimp,5,(264)378-2289x457,187.5
India,Wyoming,Zhang PLC,Black Tiger Shrimp,4,(823)315-5732,194.8
Bangladesh,Oregon,"Joseph, Murphy and Jennings",King Crab,5,386-225-1761x438,82.0
Vietnam,Wyoming,Lowe and Sons,Grouper,5,502-534-4058,177.1
India,Missouri,Thomas LLC,Rohu,3,254-594-7780,139.2
Indonesia,Kentucky,Olson PLC,Trout,5,2358970024,116.5
India,Mississippi,Coleman-Tucker,King Prawn,4,(409)511-7892x023,30.2
Bangladesh,South Dakota,Williams LLC,Carp,4,+1-280-403-5692,78.9
India,Arkansas,Scott-Hill,Grouper,3,+1-236-402-8744x95617,95.9
Vietnam,North Carolina,"Reilly, Wilkinson and Stewart",Whiteleg Shrimp,4,+1-905-920-9797x17548,163.0
Bangladesh,Colorado,"Wilson, Wells and Martin",Milkfish,5,+1-270-658-0923,106.7
Vietnam,Oregon,"Stewart, Terrell and King",Carp,3,726-915-1067,100.7
Thailand,Montana,Garcia PLC,Whiteleg Shrimp,3,+1-647-990-0527x841,127.2
Vietnam,North Dakota,"Oconnor, Hall and Wagner",Freshwater Prawn,4,231.219.3383,112.6
Thailand,Colorado,Martinez PLC,Banana Prawn,3,+1-516-570-7041x023,37.5
Indonesia,North Carolina,Martin-Key,Banana Prawn,5,(429)312-6799,151.8
Bangladesh,Louisiana,Burke Ltd,Grouper,3,703.685.7137,146.9
India,South Carolina,Smith PLC,Barramundi,4,583.490.3924x531,162.6
India,Arizona,Gaines-Turner,Tuna,3,3925521737,80.8
Vietnam,Ohio,"Richards, Cruz and Rodriguez",King Crab,5,(292)671-4890,48.1
Vietnam,Delaware,Mcbride Inc,Snow Crab,3,+1-228-608-8567x04668,66.7
Bangladesh,Mississippi,"Bradley, Dean and Stewart",Mud Crab,3,689-949-2690x52446,95.5
India,Idaho,Huff Group,Blue Swimmer Crab,4,698.944.6634x888,131.7
