Species,Age_Days,Water_Temp,DO,Feed_Type,Protein,Feed_Quantity
Tilapia,126,30.4,7.1,Sinking,37,6.98
Banana Prawn,22,27.6,4.9,Floating,32,6.2
Tuna,116,22.6,6.5,Sinking,40,17.37
Mud Crab,142,31.9,4.8,Pellet,38,43.73
Carp,122,23.8,7.4,Floating,28,17.12
Freshwater Prawn,51,20.3,7.3,Floating,42,46.55
Snow Crab,68,24.9,6.7,Pellet,36,41.21
Barramundi,77,21.9,7.0,Pellet,35,14.7
Whiteleg Shrimp,51,24.0,4.0,Floating,45,12.74
Soft Shell Crab,31,29.9,5.5,Sinking,42,33.23
Tilapia,50,23.8,7.2,Floating,42,30.75
Grouper,61,27.6,7.0,Pellet,40,28.58
Pangasius,116,20.8,5.7,Sinking,38,23.61
Whiteleg Shrimp,140,28.0,6.4,Pellet,41,26.86
Snow Crab,97,26.0,5.5,Sinking,33,33.62
Blue Swimmer Crab,73,21.9,6.7,Sinking,34,48.63
Vannamei,87,28.6,7.6,Pellet,42,10.89
Salmon,39,22.2,6.1,Floating,37,39.41
Carp,13,25.7,7.8,Sinking,41,33.3
Carp,91,27.8,6.5,Pellet,38,40.15
Seabass,143,29.9,4.1,Floating,32,3.82
Freshwater Prawn,89,31.4,5.5,Sinking,37,40.1
Tiger Prawn,146,21.1,6.7,Pellet,44,6.29
Black Tiger Shrimp,45,20.8,5.7,Sinking,42,35.5
Seabass,27,25.4,4.2,Pellet,36,20.86
Milkfish,113,30.5,6.5,Sinking,37,8.04
King Crab,83,27.6,7.1,Sinking,34,22.51
Seabass,35,31.7,6.9,Pellet,42,42.29
Barramundi,65,20.8,4.8,Sinking,36,44.21
Rohu,23,23.4,5.2,Floating,40,2.67
Cod,58,28.8,6.7,Sinking,45,24.74
King Crab,42,29.1,6.7,Sinking,36,5.56
Tilapia,71,30.5,5.6,Sinking,42,13.63
Milkfish,149,24.5,6.8,Floating,28,33.43
Grouper,82,28.3,7.8,Floating,40,46.91
Blue Swimmer Crab,15,24.1,7.6,Pellet,34,26.74
King Crab,128,23.0,6.2,Floating,44,49.84
Black Tiger Shrimp,30,22.7,7.2,Floating,33,1.42
Black Tiger Shrimp,35,31.2,4.4,Pellet,34,12.28
Pangasius,96,29.9,5.8,Floating,40,5.74
Seabass,35,25.5,5.6,Pellet,33,13.84
Barramundi,110,25.2,7.8,Pellet,35,6.66
Banana Prawn,146,26.7,6.4,Floating,31,2.02
Vannamei,47,25.9,7.4,Floating,41,48.84
Whiteleg Shrimp,82,28.1,6.3,Floating,45,27.68
Grouper,114,20.8,7.1,Pellet,36,18.75
Banana Prawn,28,30.3,5.2,Floating,35,42.97
Pangasius,108,20.6,4.7,Sinking,28,20.43
Barramundi,128,23.1,4.6,Sinking,41,37.27
King Crab,80,29.6,6.4,Pellet,41,23.32
Vannamei,75,21.9,6.3,Floating,44,49.96
Barramundi,117,29.8,5.4,Pellet,42,8.84
Cod,51,32.0,7.0,Sinking,44,27.81
Pangasius,101,31.4,7.7,Pellet,39,5.98
Blue Swimmer Crab,64,28.0,6.1,Pellet,42,5.24
Seabass,83,20.5,6.0,Sinking,43,41.81
Pangasius,102,21.3,6.6,Sinking,40,9.44
Snapper,101,32.0,6.0,Sinking,38,43.85
Rohu,79,31.2,5.9,Floating,33,17.06
Vannamei,71,24.3,5.0,Pellet,34,15.65
Banana Prawn,60,26.8,4.1,Pellet,42,32.51
Tilapia,64,30.6,4.3,Pellet,41,17.72
Snow Crab,86,31.2,7.4,Sinking,28,42.04
Freshwater Prawn,76,30.7,6.9,Pellet,45,11.55
Catfish,11,22.0,6.6,Floating,37,4.35
Seabass,69,26.6,6.3,Sinking,30,38.11
Trout,133,26.7,6.3,Pellet,43,29.91
Freshwater Prawn,149,24.6,6.5,Pellet,36,4.23
Vannamei,72,20.2,7.7,Floating,41,43.73
Cod,109,27.5,6.7,Floating,43,38.33
King Crab,91,24.7,7.4,Sinking,32,33.06
Black Tiger Shrimp,13,28.8,7.3,Pellet,31,7.66
Tilapia,17,26.0,5.9,Floating,40,18.43
Pangasius,80,28.0,4.3,Floating,32,23.58
Whiteleg Shrimp,63,27.2,7.5,Floating,45,1.87
Seabass,52,26.7,5.8,Pellet,37,9.71
Rohu,138,24.8,4.1,Pellet,41,43.28
Black Tiger Shrimp,12,27.5,7.5,Pellet,38,46.51
Cod,22,26.0,7.2,Floating,31,46.95
Seabass,121,23.2,4.7,Sinking,29,16.72
Vannamei,144,29.2,6.8,Sinking,29,43.33
Salmon,123,20.1,7.1,Pellet,36,6.63
Freshwater Prawn,77,20.5,7.6,Pellet,41,32.64
Catfish,17,24.7,4.2,Sinking,41,37.52
Pangasius,142,31.3,7.5,Sinking,40,6.49
Whiteleg Shrimp,90,28.4,7.8,Pellet,31,17.58
Salmon,36,20.4,6.2,Floating,42,47.82
Barramundi,95,31.2,5.0,Floating,34,15.43
Salmon,10,31.5,4.2,Sinking,38,3.09
Blue Swimmer Crab,32,25.2,7.1,Sinking,41,4.51
Soft Shell Crab,66,28.9,7.8,Pellet,37,48.78
Tilapia,140,27.6,8.0,Pellet,43,37.53
Tuna,144,27.2,7.0,Floating,29,18.31
Snow Crab,22,27.9,7.1,Pellet,36,23.42
Seabass,59,25.1,7.4,Floating,35,20.51
Snow Crab,150,20.2,6.0,Floating,40,43.21
Barramundi,141,26.1,6.1,Sinking,43,47.35
Mud Crab,146,28.0,5.3,Sinking,29,43.34
Seabass,28,31.3,7.2,Sinking,30,27.01
Grouper,107,22.5,4.5,Pellet,38,37.97
Milkfish,22,28.4,7.3,Floating,41,21.71
Snow Crab,101,23.5,6.0,Pellet,41,9.51
King Crab,78,29.9,6.0,Floating,39,24.8
Catfish,139,30.2,5.6,Pellet,28,46.47
Salmon,107,24.3,7.3,Pellet,45,36.93
Blue Swimmer Crab,61,23.2,4.8,Floating,28,22.65
Freshwater Prawn,83,26.5,8.0,Pellet,38,12.82
Carp,65,26.2,7.9,Pellet,35,36.12
Vannamei,117,22.4,7.1,Floating,29,47.93
Whiteleg Shrimp,49,30.0,5.8,Floating,40,29.6
King Prawn,106,20.5,5.7,Floating,28,20.19
Rohu,73,31.0,5.3,Sinking,43,42.21
Catfish,59,28.7,7.2,Floating,42,11.5
Tilapia,130,21.4,6.1,Floating,45,6.61
Tiger Prawn,105,27.0,5.8,Pellet,38,2.48
Snapper,141,26.6,5.6,Pellet,33,25.76
Tilapia,38,27.3,4.8,Floating,31,42.78
Grouper,93,22.1,5.3,Floating,35,23.7
Grouper,119,25.6,6.5,Pellet,32,8.18
Snapper,32,26.8,7.1,Sinking,45,35.52
King Prawn,97,22.2,5.0,Floating,44,2.72
Rohu,18,26.2,6.4,Pellet,44,39.72
Tilapia,21,27.2,6.1,Sinking,42,16.05
Whiteleg Shrimp,95,27.7,5.7,Floating,42,33.1
Snow Crab,87,22.4,6.8,Sinking,41,31.27
Barramundi,61,30.7,6.9,Sinking,35,16.04
Whiteleg Shrimp,76,22.6,6.4,Floating,45,46.63
Black Tiger Shrimp,143,20.8,4.5,Pellet,39,1.87
Rohu,50,26.2,7.9,Sinking,28,39.78
Grouper,20,22.8,4.9,Floating,33,17.47
Milkfish,24,30.3,4.7,Pellet,44,3.59
Vannamei,118,24.8,7.4,Sinking,42,24.81
Salmon,150,26.6,6.3,Pellet,40,27.28
Soft Shell Crab,82,22.2,4.4,Floating,43,28.79
Vannamei,24,28.8,4.6,Sinking,37,2.18
Seabass,145,27.4,7.6,Pellet,32,31.99
Catfish,137,31.0,5.1,Sinking,38,49.49
Mud Crab,117,24.0,8.0,Pellet,39,38.06
Pangasius,63,31.7,4.6,Pellet,28,25.02
Catfish,109,26.3,7.6,Sinking,34,25.23
Grouper,44,27.6,5.7,Pellet,39,25.33
Vannamei,56,20.2,5.0,Sinking,32,11.96
Dungeness Crab,71,20.3,5.0,Sinking,36,45.71
Whiteleg Shrimp,80,26.5,6.7,Sinking,36,40.05
Banana Prawn,69,31.7,4.9,Sinking,28,2.84
Tilapia,26,25.4,6.5,Pellet,32,25.49
Rohu,140,20.7,5.4,Sinking,34,17.02
Carp,17,27.9,4.2,Sinking,36,43.53
Cod,104,30.0,5.7,Floating,45,45.99
Catfish,57,28.7,4.8,Floating,43,22.8
Salmon,75,21.4,5.6,Sinking,45,42.27
Carp,142,21.6,4.1,Pellet,38,40.16
Blue Swimmer Crab,124,24.2,5.3,Sinking,39,33.06
King Crab,12,30.8,4.4,Pellet,39,20.67
Blue Swimmer Crab,66,23.0,5.1,Pellet,45,45.72
Tuna,89,29.8,6.4,Pellet,45,29.91
King Crab,69,24.6,6.5,Sinking,45,17.29
Freshwater Prawn,60,28.2,4.3,Floating,34,28.54
Tiger Prawn,106,29.3,5.6,Sinking,30,5.84
Vannamei,39,25.9,5.4,Sinking,40,12.8
Cod,149,28.4,6.1,Floating,31,17.08
Pangasius,144,28.9,5.0,Floating,34,45.36
Trout,60,30.0,5.6,Floating,38,16.67
Milkfish,20,26.2,5.6,Pellet,38,42.47
Dungeness Crab,127,26.6,6.0,Floating,41,46.07
Whiteleg Shrimp,23,26.2,7.2,Sinking,40,38.19
Snow Crab,127,21.4,5.4,Pellet,39,39.24
Tuna,39,21.9,4.2,Sinking,28,38.2
Trout,129,25.6,7.4,Floating,41,42.42
Banana Prawn,110,21.3,5.9,Floating,43,45.97
Milkfish,93,30.7,6.3,Floating,34,3.68
Mud Crab,138,20.9,7.0,Sinking,40,25.12
Tilapia,147,27.9,5.8,Floating,29,34.3
Pangasius,111,31.0,4.2,Sinking,31,18.49
Tuna,131,21.4,4.8,Sinking,38,24.6
Salmon,81,22.0,6.5,Floating,30,1.96
Pangasius,23,26.8,7.8,Floating,40,5.96
Tilapia,26,25.7,4.4,Pellet,29,34.39
Carp,93,20.5,7.2,Pellet,28,18.21
Vannamei,99,29.1,6.7,Pellet,40,41.69
Snapper,69,25.3,6.3,Floating,30,42.1
Freshwater Prawn,102,20.9,7.7,Floating,30,22.75
Banana Prawn,103,24.9,6.4,Floating,45,21.93
Snapper,73,27.2,5.1,Pellet,45,38.53
Blue Swimmer Crab,76,23.0,7.3,Floating,45,40.72
Blue Swimmer Crab,10,20.9,5.5,Floating,45,7.84
Grouper,106,25.7,6.3,Sinking,44,3.76
Seabass,22,26.8,7.2,Floating,45,17.47
Whiteleg Shrimp,134,25.3,4.1,Sinking,43,26.89
Trout,91,30.0,6.0,Sinking,45,28.69
Catfish,16,28.3,5.5,Sinking,39,20.2
Tilapia,30,28.3,7.4,Sinking,36,11.88
King Prawn,67,30.7,6.3,Pellet,30,42.64
Barramundi,18,31.9,6.5,Floating,35,9.45
Soft Shell Crab,46,27.4,6.2,Floating,28,25.09
Tuna,98,23.2,5.2,Pellet,38,35.9
Mud Crab,44,25.8,7.8,Floating,45,2.02
Tilapia,28,23.6,7.0,Sinking,43,32.3
King Prawn,89,26.4,4.6,Sinking,40,24.94
Black Tiger Shrimp,26,29.2,5.6,Floating,29,19.28
Trout,121,24.1,6.0,Sinking,43,19.91
Salmon,32,21.9,7.2,Floating,35,39.81
Rohu,52,21.8,5.3,Sinking,31,42.53
Cod,24,28.3,7.4,Sinking,33,35.66
Mud Crab,37,28.4,5.0,Sinking,32,25.34
Tilapia,46,24.6,4.8,Pellet,35,30.15
Milkfish,107,23.6,7.2,Pellet,34,43.91
Snow Crab,37,28.1,7.7,Sinking,40,4.01
Tuna,108,21.3,5.8,Pellet,43,4.31
Banana Prawn,114,22.9,4.8,Sinking,35,18.32
Tiger Prawn,85,27.5,5.3,Sinking,39,41.93
Grouper,128,21.4,6.6,Pellet,34,20.79
Black Tiger Shrimp,15,24.9,5.0,Pellet,43,20.85
Trout,144,26.4,6.9,Floating,30,10.63
Grouper,15,25.5,6.4,Pellet,35,46.04
Vannamei,57,24.0,7.8,Floating,33,36.82
Soft Shell Crab,64,23.9,4.4,Floating,33,39.72
Snow Crab,50,24.8,5.7,Floating,36,35.34
King Crab,105,31.8,5.8,Floating,32,41.2
Milkfish,94,27.5,6.5,Floating,40,12.6
Barramundi,119,31.5,7.9,Pellet,39,49.76
Pangasius,101,21.9,6.7,Sinking,45,30.07
Snapper,120,21.1,7.5,Sinking,29,37.56
Snapper,42,29.2,6.4,Floating,34,23.59
Cod,31,21.7,4.6,Pellet,31,38.16
Mud Crab,25,21.7,7.7,Pellet,44,19.88
Tiger Prawn,89,26.0,5.4,Sinking,44,22.62
Blue Swimmer Crab,144,24.3,4.3,Sinking,44,5.95
Cod,107,23.2,7.2,Pellet,33,7.39
Pangasius,87,29.8,7.7,Pellet,32,23.91
Grouper,105,28.0,5.4,Pellet,31,9.85
Banana Prawn,117,22.1,7.1,Pellet,36,29.24
Snow Crab,23,27.2,5.4,Sinking,32,46.37
King Crab,148,30.4,4.7,Pellet,39,35.66
Trout,82,26.7,5.0,Pellet,41,10.06
Blue Swimmer Crab,66,25.5,4.2,Pellet,31,21.28
Banana Prawn,65,21.3,4.4,Sinking,43,9.58
Tiger Prawn,108,22.7,5.8,Floating,37,12.36
Grouper,129,20.1,6.7,Floating,32,25.3
Snapper,10,21.9,5.1,Sinking,35,18.13
Black Tiger Shrimp,50,26.4,5.0,Floating,42,3.5
Soft Shell Crab,134,20.8,6.2,Pellet,28,46.68
Tiger Prawn,130,28.1,7.6,Floating,29,41.67
Rohu,25,31.6,6.0,Floating,37,30.5
Tuna,72,29.5,7.6,Sinking,42,17.21
Catfish,68,29.1,6.9,Pellet,44,38.45
Catfish,38,21.6,4.8,Pellet,32,33.34
King Crab,69,31.0,6.7,Floating,28,13.27
Milkfish,140,26.1,5.4,Floating,42,44.79
Seabass,46,22.1,5.3,Floating,35,9.98
Salmon,105,21.1,7.8,Pellet,36,18.47
Tilapia,61,20.3,6.1,Sinking,30,16.5
Whiteleg Shrimp,84,29.0,6.1,Pellet,31,34.75
Blue Swimmer Crab,106,20.7,7.3,Sinking,43,27.73
Soft Shell Crab,72,27.2,7.1,Pellet,42,4.56
Milkfish,32,22.6,4.8,Floating,39,19.0
Trout,32,30.1,6.1,Pellet,43,4.96
Seabass,87,20.8,4.8,Sinking,40,23.21
Tuna,111,26.7,7.9,Sinking,35,43.12
Trout,69,22.2,4.6,Pellet,29,43.26
Snapper,14,28.6,7.7,Floating,29,22.96
Snapper,56,30.8,7.5,Pellet,43,49.55
Trout,19,25.8,8.0,Floating,31,32.79
Snapper,80,31.8,6.3,Floating,44,7.43
Rohu,79,20.4,6.3,Sinking,38,28.36
Dungeness Crab,125,22.7,7.2,Sinking,39,6.9
Blue Swimmer Crab,69,29.0,5.0,Sinking,33,49.84
Tiger Prawn,94,26.3,6.4,Sinking,38,44.6
Catfish,16,25.5,4.2,Sinking,44,22.6
Whiteleg Shrimp,66,30.8,6.6,Floating,34,40.45
Rohu,124,29.6,6.3,Pellet,34,47.16
Tuna,40,29.2,7.7,Sinking,34,43.46
Mud Crab,66,28.9,6.1,Floating,42,49.79
Blue Swimmer Crab,134,21.7,4.0,Sinking,42,22.37
Tilapia,35,26.4,6.6,Pellet,39,25.51
Barramundi,28,31.3,6.2,Sinking,44,15.43
Tilapia,43,30.4,4.4,Sinking,40,22.25
Seabass,86,20.8,5.5,Sinking,29,35.69
Rohu,121,30.1,5.1,Sinking,36,33.14
Tuna,104,31.7,6.6,Sinking,31,23.52
Salmon,115,20.2,5.0,Pellet,41,33.3
Barramundi,17,27.8,7.7,Sinking,41,14.79
Banana Prawn,51,25.2,4.1,Pellet,36,20.4
Black Tiger Shrimp,141,22.3,7.7,Pellet,28,45.18
Seabass,139,27.3,6.2,Sinking,37,47.48
Vannamei,71,26.9,5.4,Floating,39,46.68
Tuna,104,29.6,6.7,Pellet,32,7.18
Salmon,106,25.7,5.6,Pellet,41,13.39
Whiteleg Shrimp,15,30.0,6.7,Floating,38,37.86
Blue Swimmer Crab,99,28.7,7.1,Sinking,36,29.32
Pangasius,19,23.4,6.4,Floating,39,28.7
Whiteleg Shrimp,148,27.7,6.6,Pellet,44,33.87
Seabass,82,28.8,6.6,Sinking,43,15.35
Banana Prawn,72,28.6,4.2,Sinking,41,42.69
Catfish,142,28.0,5.0,Pellet,35,12.73
Snow Crab,87,27.5,4.1,Pellet,37,41.01
Seabass,34,25.8,4.9,Pellet,38,26.2
Vannamei,53,25.8,5.3,Sinking,36,23.7
Barramundi,28,24.5,8.0,Sinking,40,7.3
Banana Prawn,101,21.3,4.2,Pellet,31,12.82
Vannamei,68,31.4,4.2,Pellet,36,9.69
Mud Crab,16,29.7,4.7,Sinking,37,40.43
Milkfish,116,27.0,7.6,Pellet,28,35.42
King Crab,133,31.3,7.1,Floating,41,18.73
Cod,150,29.1,6.8,Pellet,38,38.9
Tuna,65,26.7,4.6,Pellet,28,40.88
Salmon,108,20.9,4.8,Pellet,42,4.86
Barramundi,144,26.6,6.1,Floating,32,5.12
Vannamei,11,23.2,5.9,Sinking,28,43.61
Tilapia,43,26.3,5.0,Pellet,29,25.08
Pangasius,148,22.6,7.2,Sinking,31,37.73
Freshwater Prawn,103,30.5,4.4,Pellet,28,34.88
Snow Crab,29,21.0,4.4,Sinking,39,24.04
King Crab,115,29.4,6.1,Pellet,45,7.88
Blue Swimmer Crab,126,21.2,5.4,Sinking,40,35.39
Pangasius,56,26.9,4.2,Pellet,31,1.16
Cod,54,26.1,5.0,Pellet,36,49.36
Tiger Prawn,119,29.2,6.0,Pellet,39,10.93
Banana Prawn,29,26.3,7.6,Floating,29,9.46
Soft Shell Crab,147,26.8,6.5,Sinking,36,1.21
Blue Swimmer Crab,78,23.5,7.4,Pellet,43,7.2
Seabass,42,26.7,4.1,Floating,43,8.11
Catfish,126,25.1,5.5,Pellet,31,48.73
Tiger Prawn,88,26.5,7.5,Floating,28,42.69
Trout,141,28.2,5.2,Pellet,31,23.85
Pangasius,56,23.8,6.8,Sinking,37,6.63
Milkfish,15,28.9,6.4,Sinking,30,30.13
Milkfish,96,31.1,4.2,Sinking,32,38.35
Milkfish,58,30.4,4.2,Floating,34,12.48
Vannamei,134,26.5,7.0,Pellet,40,42.44
Catfish,94,20.9,4.9,Pellet,39,39.05
Carp,24,29.9,5.0,Sinking,28,10.62
Cod,59,21.4,7.8,Floating,36,1.64
Grouper,71,29.7,6.9,Sinking,31,19.53
Milkfish,51,23.5,4.8,Pellet,31,33.78
Banana Prawn,123,31.1,5.9,Sinking,45,30.6
Grouper,150,27.3,7.1,Sinking,38,45.38
Freshwater Prawn,120,28.1,7.8,Floating,29,40.17
Cod,136,25.9,6.7,Floating,37,2.61
Blue Swimmer Crab,80,28.0,7.1,Pellet,28,44.11
Carp,125,26.1,7.7,Sinking,28,26.22
Catfish,70,21.8,5.7,Pellet,43,5.22
Mud Crab,67,25.4,6.7,Floating,35,4.96
Vannamei,50,20.9,5.0,Pellet,30,37.51
Tiger Prawn,124,30.3,6.9,Floating,37,37.87
Snow Crab,14,23.1,7.3,Floating,41,30.23
Whiteleg Shrimp,62,26.6,6.0,Floating,36,47.65
Banana Prawn,144,31.8,4.7,Floating,45,43.56
Carp,42,30.3,7.8,Sinking,33,40.84
Tilapia,58,27.7,7.2,Pellet,33,4.57
Grouper,113,29.0,4.9,Pellet,30,33.15
Cod,61,27.1,6.4,Floating,33,23.03
King Crab,91,25.4,5.8,Floating,45,40.4
Banana Prawn,69,20.6,5.6,Floating,28,38.47
Soft Shell Crab,36,27.6,5.8,Floating,40,8.68
Dungeness Crab,30,24.3,6.2,Sinking,36,44.17
Black Tiger Shrimp,82,27.3,6.4,Sinking,37,41.73
Pangasius,43,29.5,4.9,Sinking,38,35.23
Seabass,136,21.3,7.2,Pellet,34,32.0
Mud Crab,140,21.8,5.4,Floating,45,42.89
Tilapia,52,29.4,6.1,Sinking,41,23.73
Black Tiger Shrimp,76,28.3,6.4,Pellet,43,25.5
Catfish,73,20.8,5.9,Pellet,33,13.46
Snapper,64,24.6,6.5,Sinking,28,32.83
Tuna,149,23.1,7.6,Pellet,30,29.73
Seabass,98,22.1,7.0,Floating,38,29.99
Tiger Prawn,61,22.2,6.0,Sinking,30,49.27
Catfish,10,22.0,7.9,Floating,37,32.58
Seabass,12,30.7,7.2,Sinking,36,14.27
King Prawn,138,21.7,4.2,Floating,44,42.23
Tuna,78,21.6,4.4,Floating,32,26.76
Carp,100,27.3,6.6,Floating,40,20.49
Tuna,67,26.0,7.3,Pellet,28,45.95
King Crab,148,21.5,7.3,Pellet,40,13.81
Cod,70,28.2,5.0,Pellet,36,14.71
Milkfish,20,23.4,7.1,Pellet,31,31.79
Cod,55,28.4,4.7,Pellet,41,12.56
Seabass,38,21.9,6.0,Pellet,28,16.38
Milkfish,127,25.2,4.5,Sinking,43,28.36
Catfish,36,26.6,5.2,Floating,38,6.52
Trout,132,31.8,4.4,Sinking,35,46.64
Seabass,49,22.8,4.8,Floating,32,21.39
Tiger Prawn,37,26.0,5.7,Floating,43,37.51
Seabass,30,28.4,7.2,Sinking,28,34.97
Tilapia,63,20.9,5.8,Pellet,45,2.94
Freshwater Prawn,122,27.1,5.8,Floating,44,34.25
Catfish,64,20.8,6.7,Floating,32,37.93
Vannamei,32,23.9,7.8,Floating,43,42.97
Snapper,29,24.2,6.2,Sinking,35,19.13
Blue Swimmer Crab,38,21.2,4.5,Floating,37,24.56
Vannamei,108,24.7,7.2,Sinking,42,24.54
King Crab,59,26.4,4.7,Floating,42,49.72
King Prawn,48,30.5,4.8,Pellet,29,49.64
Barramundi,95,20.2,6.5,Sinking,31,48.76
Seabass,89,25.8,4.1,Sinking,40,44.41
Grouper,117,26.7,7.7,Pellet,42,47.07
Carp,25,27.9,5.3,Floating,33,3.84
King Prawn,54,30.4,6.5,Floating,36,4.22
Vannamei,48,26.1,7.3,Floating,41,34.32
Whiteleg Shrimp,81,24.7,6.4,Floating,42,41.38
Black Tiger Shrimp,68,29.0,5.0,Floating,29,22.24
Snapper,109,21.1,5.1,Floating,41,21.81
Freshwater Prawn,128,25.2,5.8,Floating,32,3.5
Snapper,95,31.0,7.5,Floating,37,16.39
Salmon,67,27.6,4.8,Sinking,39,17.62
King Prawn,70,31.5,5.5,Floating,34,14.5
Snow Crab,88,31.5,7.4,Pellet,28,46.03
Soft Shell Crab,116,28.0,7.9,Sinking,35,35.19
Tuna,81,31.1,4.1,Pellet,28,8.15
Seabass,26,24.0,7.9,Pellet,37,3.65
Black Tiger Shrimp,51,21.4,5.4,Floating,36,6.99
Milkfish,44,25.0,7.2,Sinking,38,42.69
Carp,125,26.6,6.2,Pellet,42,27.65
King Prawn,119,25.4,7.5,Sinking,39,37.55
Tuna,122,20.7,6.3,Pellet,31,19.36
Soft Shell Crab,123,27.4,7.4,Floating,45,17.21
Snapper,27,23.6,7.2,Sinking,43,1.85
King Prawn,141,23.7,7.6,Pellet,38,30.27
Milkfish,40,26.6,4.2,Pellet,43,13.33
Dungeness Crab,44,31.3,5.4,Pellet,31,39.04
Dungeness Crab,19,21.3,5.6,Pellet,42,49.57
Tuna,72,30.9,4.5,Floating,37,26.73
Mud Crab,125,29.9,5.7,Pellet,28,6.45
Seabass,40,21.8,6.3,Pellet,39,18.79
Blue Swimmer Crab,44,23.6,7.9,Sinking,28,37.47
Seabass,95,27.9,6.5,Pellet,36,26.2
Trout,142,24.5,7.2,Pellet,29,28.09
Tiger Prawn,115,26.4,6.2,Sinking,44,20.97
Soft Shell Crab,112,21.9,6.6,Floating,32,45.37
Snapper,49,25.2,5.1,Floating,44,45.01
Banana Prawn,96,31.3,4.8,Floating,34,41.54
Banana Prawn,112,28.5,6.9,Pellet,37,7.29
Grouper,72,23.3,6.3,Floating,33,21.52
Grouper,34,24.8,5.7,Pellet,34,38.75
Tuna,147,24.3,5.4,Pellet,32,47.42
Tiger Prawn,56,23.8,6.2,Pellet,38,17.2
Seabass,116,22.5,7.8,Pellet,35,30.0
Carp,33,25.2,4.9,Sinking,34,2.96
Snapper,91,24.1,5.2,Sinking,35,10.0
Cod,32,21.9,7.0,Floating,35,45.35
Seabass,64,27.9,5.5,Sinking,40,35.03
Whiteleg Shrimp,48,27.9,6.8,Floating,45,14.13
Snapper,139,27.3,6.6,Floating,34,12.27
King Prawn,25,30.5,5.0,Pellet,39,45.0
King Crab,99,29.4,5.0,Sinking,43,41.86
Seabass,65,27.9,5.1,Floating,34,5.92
Tuna,99,30.7,6.5,Pellet,34,28.64
Milkfish,84,22.1,6.6,Sinking,33,26.08
Tilapia,111,31.4,5.9,Sinking,37,27.1
Seabass,100,30.9,4.7,Sinking,32,13.1
Banana Prawn,90,24.6,4.2,Sinking,36,26.65
Grouper,119,22.1,7.7,Sinking,42,10.84
Trout,136,29.8,7.0,Floating,29,13.89
Barramundi,14,27.1,7.2,Pellet,31,24.37
Tuna,85,22.0,7.8,Floating,37,40.83
Snapper,104,20.8,7.6,Floating,35,12.22
King Crab,69,21.4,5.5,Pellet,39,7.65
Banana Prawn,122,30.4,4.7,Floating,28,19.44
Whiteleg Shrimp,89,25.4,5.9,Pellet,43,44.31
Blue Swimmer Crab,77,24.3,6.2,Floating,36,4.9
Seabass,68,26.8,4.1,Sinking,31,29.54
Freshwater Prawn,148,27.4,5.8,Floating,42,36.2
Salmon,36,20.3,7.3,Pellet,36,8.72
Vannamei,142,30.1,8.0,Sinking,35,2.02
Soft Shell Crab,39,30.1,5.7,Floating,45,21.69
Freshwater Prawn,130,20.3,4.7,Sinking,39,47.54
Barramundi,81,28.0,5.4,Floating,31,23.14
Dungeness Crab,134,20.7,5.9,Pellet,30,43.48
Tilapia,47,25.0,5.0,Sinking,40,47.17
Dungeness Crab,73,25.5,5.5,Sinking,44,46.56
Banana Prawn,135,29.8,6.7,Floating,36,27.17
King Crab,114,30.3,4.9,Floating,45,15.69
King Prawn,42,21.7,7.7,Pellet,33,8.89
Grouper,129,21.9,6.4,Sinking,40,29.53
King Crab,144,21.6,6.7,Sinking,44,44.81
Vannamei,13,20.1,6.5,Pellet,38,24.55
Dungeness Crab,29,24.2,7.3,Floating,31,6.2
Snapper,121,27.7,7.0,Floating,40,33.36
Carp,40,29.5,8.0,Sinking,33,47.96
Snow Crab,74,26.8,7.2,Floating,28,35.13
Tuna,26,28.2,5.6,Floating,36,47.87
Blue Swimmer Crab,70,26.6,4.9,Pellet,34,34.25
Tuna,25,23.0,7.1,Pellet,39,35.1
Mud Crab,50,21.7,6.9,Floating,36,40.21
King Crab,100,22.8,5.9,Pellet,39,13.29
Snow Crab,135,22.0,6.3,Floating,44,47.49
Vannamei,126,31.7,6.3,Pellet,44,18.88
King Prawn,49,21.7,7.9,Floating,43,30.9
Snapper,106,26.5,7.9,Floating,38,10.33
Mud Crab,89,30.2,6.7,Sinking,37,38.76
Grouper,50,24.3,7.4,Floating,28,49.05
Mud Crab,65,21.1,7.9,Sinking,37,30.76
Snapper,59,31.7,6.8,Sinking,45,22.13
Milkfish,79,27.1,5.0,Pellet,35,34.61
Pangasius,116,31.1,7.7,Floating,37,47.26
Tuna,105,21.6,5.8,Floating,34,44.56
Dungeness Crab,129,27.7,4.6,Floating,40,19.86
Seabass,18,26.8,6.8,Pellet,28,42.35
Freshwater Prawn,148,27.8,4.9,Floating,42,45.18
Rohu,105,21.0,5.7,Pellet,31,32.06
Milkfish,110,25.1,7.5,Pellet,35,12.65
Dungeness Crab,60,28.4,5.9,Sinking,44,36.2
Tiger Prawn,52,27.6,5.4,Sinking,34,20.39
King Crab,66,22.7,5.1,Pellet,42,1.85
Tuna,23,30.0,4.6,Pellet,28,20.58
Tiger Prawn,102,31.4,5.7,Floating,31,25.16
Seabass,91,29.2,4.9,Pellet,35,36.48
Vannamei,102,21.0,4.5,Pellet,36,19.22
Milkfish,64,30.4,5.0,Floating,29,16.33
Mud Crab,19,21.8,6.3,Floating,33,48.86
Seabass,121,20.7,7.9,Sinking,44,38.41
