Target_Country,Species,Required_Quantity,Quality_Grade,Price_Offered
USA,Soft Shell Crab,35,A,377937.8
Japan,Tiger Prawn,23,A,317145.52
USA,Catfish,40,B,172870.8
USA,Seabass,16,C,23492.72
India,Dungeness Crab,10,C,146582.51
Japan,Trout,45,A,350731.38
USA,Banana Prawn,6,A,365286.88
Japan,Milkfish,44,A,220842.87
India,Salmon,33,A,496542.59
EU,Tuna,35,C,335898.98
India,Trout,30,C,379700.36
USA,Pangasius,29,A,61533.83
China,Milkfish,33,A,34589.61
Japan,King Crab,7,C,17383.94
USA,Vannamei,13,B,54131.42
Japan,Dungeness Crab,33,C,144794.41
USA,Pangasius,16,A,91852.68
EU,Mud Crab,18,A,255921.98
China,Carp,4,A,208926.85
USA,Tilapia,28,B,329378.3
India,Soft Shell Crab,50,A,102093.87
USA,Rohu,5,A,394850.14
USA,Black Tiger Shrimp,19,C,258248.34
India,Blue Swimmer Crab,40,B,261741.74
Japan,Trout,47,C,496925.59
EU,Tuna,31,B,254158.73
Japan,Rohu,10,C,346984.85
India,Soft Shell Crab,48,C,137610.65
EU,Trout,3,B,14663.08
China,Black Tiger Shrimp,26,C,119641.85
India,Barramundi,33,C,161934.45
USA,Grouper,44,A,237158.19
EU,Blue Swimmer Crab,7,B,182472.63
EU,King Prawn,9,B,212438.43
India,Whiteleg Shrimp,43,A,11206.35
India,Vannamei,22,B,127052.31
China,Cod,7,C,153742.93
China,Salmon,29,B,458609.52
India,Whiteleg Shrimp,32,B,460609.11
China,Catfish,37,A,470059.16
USA,Tilapia,18,B,488297.35
China,Tiger Prawn,30,C,226946.62
China,Tilapia,11,B,229910.45
USA,Milkfish,13,A,116709.65
China,Tilapia,31,B,93479.02
USA,Snapper,10,A,39584.54
USA,Dungeness Crab,3,A,264026.08
EU,Salmon,11,A,145160.36
USA,Mud Crab,1,C,12664.98
EU,Cod,43,B,212961.2
Japan,Freshwater Prawn,2,B,257770.73
USA,Snow Crab,28,A,165623.33
India,Mud Crab,44,A,482195.74
EU,Soft Shell Crab,11,C,178586.26
China,Whiteleg Shrimp,2,B,123667.74
USA,Barramundi,2,A,108635.6
EU,Blue Swimmer Crab,40,C,316309.72
Japan,Tuna,10,A,55213.68
India,Snow Crab,41,A,416171.24
USA,Mud Crab,1,B,249592.41
Japan,Milkfish,17,B,141469.49
USA,Seabass,23,A,250870.74
EU,Snapper,23,A,480979.77
EU,Milkfish,35,A,20427.39
USA,Tiger Prawn,42,A,246981.49
USA,King Crab,43,B,490588.01
India,Pangasius,9,A,270014.15
EU,Dungeness Crab,39,B,202286.45
China,Rohu,2,A,53953.15
Japan,Tilapia,14,B,314540.75
Japan,Vannamei,2,A,347995.43
Japan,Vannamei,38,B,21340.13
India,Whiteleg Shrimp,17,B,204794.58
Japan,Dungeness Crab,11,A,460322.68
China,Seabass,44,B,356711.47
EU,Snow Crab,30,C,27361.96
China,Pangasius,18,C,286072.98
USA,Seabass,19,B,111576.28
EU,Catfish,25,B,227876.17
EU,Tuna,17,A,234369.59
China,Black Tiger Shrimp,1,C,434487.55
EU,Snapper,24,C,212719.81
China,Trout,23,C,108734.74
Japan,Mud Crab,32,A,37807.89
EU,Tiger Prawn,5,A,234253.47
Japan,Black Tiger Shrimp,28,A,84085.43
China,King Crab,33,B,233759.49
Japan,King Prawn,34,B,137717.4
Japan,Seabass,5,C,412606.15
China,Salmon,49,A,51284.11
Japan,Whiteleg Shrimp,43,B,31221.66
India,King Prawn,14,A,28065.54
EU,Whiteleg Shrimp,18,C,178010.38
EU,Freshwater Prawn,10,A,270334.32
India,King Prawn,29,A,153981.86
Japan,Blue Swimmer Crab,12,C,448622.36
India,Snow Crab,17,C,396184.12
USA,Whiteleg Shrimp,33,B,474995.76
India,Soft Shell Crab,41,C,139656.42
China,Tuna,31,B,476509.14
China,Rohu,13,A,459833.95
India,King Crab,30,C,189987.27
Japan,Grouper,13,C,350080.56
Japan,Banana Prawn,25,C,248951.14
USA,Tilapia,48,C,115883.5
USA,Soft Shell Crab,40,A,317994.84
India,Black Tiger Shrimp,13,C,487156.66
India,Soft Shell Crab,44,B,294197.68
China,King Prawn,49,A,132113.47
USA,Dungeness Crab,41,B,261083.16
EU,Snapper,49,A,498352.36
Japan,Blue Swimmer Crab,16,B,276428.28
India,Grouper,46,A,192234.22
EU,Soft Shell Crab,28,C,202709.0
Japan,Dungeness Crab,47,B,141056.34
EU,Barramundi,1,B,13568.91
China,Seabass,45,B,102159.88
India,Tilapia,25,B,33125.65
India,Soft Shell Crab,34,A,202162.43
Japan,King Prawn,24,C,479075.15
India,Vannamei,13,C,346072.97
USA,Catfish,31,B,389615.72
EU,Soft Shell Crab,1,B,245172.32
USA,Barramundi,39,C,391725.69
China,Milkfish,32,A,436781.56
EU,King Prawn,41,C,118716.93
USA,Salmon,40,C,33940.78
EU,Banana Prawn,31,B,265614.93
India,Trout,5,C,198180.98
USA,Whiteleg Shrimp,33,C,15586.43
India,Mud Crab,4,A,425782.42
USA,Blue Swimmer Crab,20,B,419621.8
USA,Milkfish,37,A,276954.74
EU,Vannamei,8,A,28593.39
Japan,Cod,39,B,176165.54
China,Freshwater Prawn,33,B,341842.48
EU,Milkfish,30,A,338697.15
Japan,Banana Prawn,14,B,185521.87
EU,King Prawn,39,B,385446.0
Japan,Carp,7,C,446140.54
EU,Rohu,35,C,424607.62
Japan,Dungeness Crab,38,C,173672.5
EU,Tuna,22,A,122701.69
China,Mud Crab,47,C,81580.97
India,Cod,32,C,268820.64
China,Rohu,39,A,10116.53
Japan,Tuna,21,B,292273.63
Japan,Snapper,6,B,325236.19
EU,Snapper,7,A,208498.06
USA,Mud Crab,9,C,272398.84
USA,Tiger Prawn,36,C,356364.78
China,Tiger Prawn,36,A,203156.18
EU,Salmon,8,A,119241.66
India,Whiteleg Shrimp,11,C,267084.8
Japan,Black Tiger Shrimp,47,C,123267.91
India,Catfish,1,A,458889.26
Japan,Grouper,21,A,421400.16
EU,Barramundi,13,C,162299.7
India,Catfish,7,C,38847.61
China,King Crab,25,B,233392.07
India,King Crab,1,A,314828.65
China,Rohu,38,A,71459.16
USA,Dungeness Crab,18,B,116746.78
USA,Pangasius,6,C,143886.94
USA,Tilapia,29,B,217674.23
USA,Snow Crab,14,C,394969.2
China,Snow Crab,8,B,434237.87
Japan,King Prawn,26,C,234031.71
EU,Soft Shell Crab,27,C,287193.79
EU,King Crab,19,A,128631.52
EU,Seabass,40,C,333291.46
USA,Cod,3,C,375652.61
Japan,Snow Crab,33,B,287757.99
EU,Tilapia,33,B,361534.71
India,Tiger Prawn,17,B,348946.51
India,Salmon,44,C,299859.6
China,Vannamei,2,A,482111.23
India,Tuna,13,A,73105.23
EU,Seabass,20,A,270278.98
China,Banana Prawn,10,A,447734.21
USA,Whiteleg Shrimp,13,B,330456.8
Japan,Salmon,21,C,287091.08
India,Barramundi,10,B,484016.14
EU,Black Tiger Shrimp,16,A,98493.78
Japan,King Crab,41,B,208301.36
India,Tilapia,11,B,320923.72
USA,Barramundi,5,B,467305.45
Japan,Milkfish,50,B,205473.57
Japan,Soft Shell Crab,25,B,416315.4
Japan,Banana Prawn,17,A,257032.68
India,Pangasius,9,C,23639.86
China,Rohu,34,A,451025.17
USA,Seabass,40,C,54481.82
USA,Seabass,35,C,476326.73
India,Dungeness Crab,46,C,57996.82
Japan,Salmon,30,A,113373.44
Japan,Whiteleg Shrimp,1,C,494185.97
China,Snapper,27,C,433524.23
China,Tiger Prawn,26,C,316521.93
EU,Grouper,46,A,97896.98
EU,Blue Swimmer Crab,11,A,153654.3
USA,Cod,1,C,347277.28
USA,Carp,36,C,99520.12
Japan,Catfish,45,B,153689.72
India,Grouper,33,B,335732.56
China,Milkfish,47,B,244675.62
India,Tuna,4,C,280441.7
USA,Freshwater Prawn,25,B,127466.71
India,Vannamei,8,A,229919.68
China,Trout,4,B,234123.56
India,Pangasius,36,C,19714.02
Japan,Whiteleg Shrimp,22,A,99055.98
China,King Prawn,50,A,344655.98
USA,Tuna,16,A,265140.61
China,Pangasius,38,A,134260.08
Japan,Cod,38,A,225144.15
China,Seabass,44,B,435308.72
India,Mud Crab,43,B,433059.97
USA,Tilapia,24,C,212490.2
India,Grouper,34,C,58202.33
USA,Banana Prawn,50,A,412579.33
China,Tiger Prawn,42,A,254376.55
USA,Snow Crab,45,B,451226.95
USA,Blue Swimmer Crab,15,C,320786.82
Japan,Freshwater Prawn,26,C,152120.69
India,Snow Crab,24,C,356044.35
EU,Grouper,11,A,328312.38
China,Dungeness Crab,12,B,278321.35
USA,Freshwater Prawn,39,A,126756.08
India,Snapper,27,B,193622.84
USA,Cod,38,C,188504.81
Japan,Banana Prawn,15,C,397565.37
India,Milkfish,37,A,434178.89
Japan,Snapper,40,C,278858.83
USA,Pangasius,35,C,496072.32
EU,Milkfish,22,C,76470.51
Japan,Carp,50,C,356116.1
India,Tilapia,19,C,31734.48
Japan,Rohu,12,B,412437.92
India,Tiger Prawn,44,C,438976.35
EU,Snow Crab,37,B,377264.29
Japan,Tuna,43,C,20972.88
India,Whiteleg Shrimp,23,B,269985.79
Japan,Soft Shell Crab,35,C,235993.06
India,Catfish,33,A,219244.08
EU,Rohu,33,A,430757.96
EU,Banana Prawn,7,C,194706.58
EU,Soft Shell Crab,24,A,81796.24
India,Blue Swimmer Crab,19,C,376473.0
EU,King Crab,25,C,350088.81
China,Barramundi,2,C,247143.98
Japan,Pangasius,33,B,20436.21
India,Seabass,36,B,407294.24
Japan,Mud Crab,44,B,366331.49
EU,Pangasius,4,C,420414.12
China,Salmon,4,B,229413.02
EU,Milkfish,45,B,103585.95
India,Tilapia,2,A,74140.91
USA,Tilapia,25,A,217504.48
Japan,Black Tiger Shrimp,14,B,352501.31
Japan,Vannamei,4,B,471217.28
EU,King Crab,43,A,179602.88
China,Pangasius,42,B,103157.4
EU,Snow Crab,11,A,254423.44
USA,Grouper,32,B,260628.93
USA,Barramundi,4,C,92427.87
India,King Crab,22,B,34560.65
India,Vannamei,34,B,100885.67
China,Banana Prawn,30,C,143880.5
EU,Snow Crab,30,B,468990.17
Japan,Banana Prawn,13,A,257895.89
USA,King Prawn,25,C,34685.63
China,Snow Crab,24,C,403981.2
China,Barramundi,47,B,111794.32
Japan,Mud Crab,27,C,229522.23
USA,Rohu,46,A,241925.24
USA,Salmon,46,A,218069.69
India,Salmon,41,C,114440.05
Japan,King Prawn,5,A,112928.55
China,Tiger Prawn,30,B,230638.79
EU,Tiger Prawn,32,B,131006.35
Japan,Black Tiger Shrimp,48,C,489620.32
India,Catfish,23,A,298076.15
India,Freshwater Prawn,6,B,193838.18
India,Trout,16,A,386188.89
Japan,Milkfish,44,C,24364.4
EU,Trout,2,A,448097.67
Japan,Mud Crab,35,C,469378.37
China,Soft Shell Crab,50,C,226472.87
China,Tuna,45,C,226777.37
China,Salmon,25,B,369220.76
China,Catfish,32,C,52147.81
China,Barramundi,32,C,34030.16
India,Barramundi,20,B,166304.24
USA,Milkfish,28,B,305115.24
China,Pangasius,48,A,277633.81
India,Catfish,26,B,98689.96
India,Whiteleg Shrimp,6,A,298006.26
Japan,Mud Crab,29,B,386848.04
Japan,Carp,42,A,46677.3
Japan,Trout,31,B,355013.8
EU,Tilapia,6,B,326253.99
Japan,Snow Crab,39,A,305262.97
India,Snow Crab,30,B,42096.51
China,Rohu,48,C,422611.28
EU,Salmon,33,B,443762.36
Japan,Milkfish,35,A,336504.66
EU,Tuna,16,B,285815.4
Japan,Tuna,5,B,199740.52
China,Trout,47,B,221778.95
USA,Mud Crab,17,B,76424.62
China,Pangasius,26,B,33540.02
China,Grouper,25,B,208788.08
EU,Rohu,49,B,397687.48
Japan,Barramundi,18,A,285605.47
Japan,Carp,38,C,132218.18
USA,Grouper,19,B,217596.48
India,Snow Crab,36,A,223213.75
India,Carp,39,C,485128.44
Japan,Salmon,12,A,396115.14
China,Soft Shell Crab,45,A,352457.93
China,Tiger Prawn,16,A,446545.86
Japan,Vannamei,42,B,416678.27
USA,Pangasius,17,C,119959.31
China,Milkfish,8,B,83168.77
Japan,Snow Crab,6,A,422517.19
China,Snapper,41,A,231319.63
Japan,Carp,24,B,438296.45
Japan,Soft Shell Crab,48,A,465661.44
China,Carp,23,A,326180.8
EU,Black Tiger Shrimp,11,A,498663.16
EU,Catfish,38,B,196832.24
USA,Tilapia,5,C,150826.22
USA,Black Tiger Shrimp,44,A,209026.84
India,Salmon,24,A,346554.65
USA,Barramundi,48,B,110421.88
EU,Tilapia,50,A,170454.5
China,Tiger Prawn,11,C,299447.93
USA,Whiteleg Shrimp,3,A,35354.95
China,Tuna,41,C,173348.74
Japan,King Crab,6,A,209815.08
EU,Soft Shell Crab,22,A,103681.1
India,Freshwater Prawn,44,B,14586.47
Japan,Rohu,1,C,56266.67
USA,Cod,49,A,372813.54
USA,Whiteleg Shrimp,42,A,466670.84
Japan,Tilapia,8,A,373626.01
Japan,Freshwater Prawn,17,B,364973.74
Japan,Rohu,46,C,40185.37
USA,Blue Swimmer Crab,44,B,449963.4
India,Cod,32,B,157438.74
India,Freshwater Prawn,24,C,143601.68
USA,Seabass,31,C,79258.36
EU,Seabass,32,C,172718.66
EU,Tuna,38,C,310565.18
EU,Tilapia,25,B,201431.07
China,Blue Swimmer Crab,4,A,231805.55
China,Banana Prawn,11,C,192546.26
Japan,Rohu,8,A,138185.03
USA,Rohu,32,B,38198.04
EU,Trout,41,C,318706.28
Japan,King Prawn,46,C,241118.03
Japan,Tiger Prawn,41,A,63445.13
USA,King Prawn,38,B,88599.0
China,Dungeness Crab,50,A,330908.62
China,Seabass,24,A,293809.63
Japan,Soft Shell Crab,10,C,54769.84
India,Salmon,20,C,358856.18
USA,Salmon,19,C,186545.0
India,Freshwater Prawn,36,A,69234.84
USA,Soft Shell Crab,20,C,330379.36
China,Carp,18,A,124326.07
USA,Whiteleg Shrimp,27,B,318014.51
EU,Carp,19,A,479506.59
Japan,Tiger Prawn,25,C,292768.31
Japan,Snow Crab,40,C,417192.23
India,Tuna,11,C,365792.78
India,King Crab,26,A,275557.74
Japan,Freshwater Prawn,35,C,306651.75
India,King Crab,28,B,365613.24
China,Snapper,20,B,443162.73
Japan,Blue Swimmer Crab,30,C,473500.9
India,Vannamei,20,C,346937.51
India,Blue Swimmer Crab,11,A,459993.25
Japan,Black Tiger Shrimp,22,C,282544.56
India,Cod,43,B,293029.05
USA,Freshwater Prawn,29,C,170346.99
USA,Catfish,35,B,45392.97
USA,Tiger Prawn,36,C,66027.23
China,Vannamei,41,C,443771.03
USA,Grouper,28,B,88783.18
EU,Blue Swimmer Crab,34,B,13130.0
EU,Banana Prawn,6,C,399845.16
USA,Trout,15,B,125221.44
India,King Prawn,7,B,226685.83
China,Tuna,18,A,207030.85
Japan,Snapper,17,B,352399.99
China,Carp,23,C,165521.3
EU,Snapper,48,B,435807.86
EU,Pangasius,22,A,55120.9
EU,Milkfish,18,C,39731.9
Japan,Carp,44,B,235942.88
China,Salmon,1,C,355364.45
China,Dungeness Crab,13,A,467247.12
EU,Trout,34,A,337010.72
China,Barramundi,13,C,107641.69
China,Seabass,39,B,102798.53
India,Freshwater Prawn,3,B,15708.27
Japan,Tiger Prawn,8,A,310636.02
USA,Rohu,24,B,235025.03
USA,King Crab,38,A,104309.09
USA,Snapper,9,A,67552.68
Japan,King Prawn,29,B,217868.82
USA,Tuna,37,A,46319.24
USA,King Crab,44,C,195404.72
India,Banana Prawn,30,C,491127.61
India,King Prawn,29,A,393920.68
Japan,Pangasius,27,A,463066.76
India,Mud Crab,7,A,264575.5
USA,Pangasius,14,B,76497.41
India,Rohu,6,B,283512.89
USA,Milkfish,47,C,62331.19
USA,Black Tiger Shrimp,33,B,112794.98
Japan,Mud Crab,42,C,213400.68
India,Cod,5,A,351094.3
USA,Snapper,10,B,116787.1
USA,Soft Shell Crab,47,A,142209.39
India,Freshwater Prawn,16,B,414845.66
India,Grouper,24,C,19223.15
USA,Snow Crab,33,C,327906.26
Japan,Tilapia,35,B,263710.09
USA,Cod,3,C,490696.45
EU,Black Tiger Shrimp,15,A,228491.27
USA,Dungeness Crab,25,B,271120.37
Japan,Pangasius,45,A,479593.37
India,Blue Swimmer Crab,31,C,256299.34
China,Banana Prawn,36,A,248991.9
India,Grouper,28,B,423413.87
USA,Grouper,36,B,40893.43
USA,Black Tiger Shrimp,33,A,461506.95
India,Freshwater Prawn,20,A,488284.32
Japan,Tilapia,31,C,242533.3
USA,King Prawn,5,C,69607.89
USA,Snow Crab,17,B,37673.17
China,Cod,16,A,366394.59
Japan,Tilapia,16,C,196581.13
China,Tuna,12,B,397214.62
USA,Barramundi,37,B,252010.09
EU,Salmon,1,C,124427.05
Japan,Black Tiger Shrimp,25,A,350467.37
EU,Snapper,22,B,194836.14
Japan,Banana Prawn,36,A,76195.78
Japan,Barramundi,20,B,257780.05
USA,Banana Prawn,12,B,225386.68
EU,Snow Crab,13,A,343537.22
Japan,Banana Prawn,16,A,238559.45
EU,Milkfish,47,C,52726.69
China,Snapper,47,C,183666.64
USA,Pangasius,16,B,234186.19
USA,Trout,5,A,177998.15
EU,Seabass,17,C,439918.96
USA,Tiger Prawn,11,C,98910.61
China,Vannamei,20,A,269995.58
Japan,Trout,33,A,470575.03
China,Blue Swimmer Crab,14,B,36009.29
Japan,Mud Crab,8,A,342475.39
EU,Black Tiger Shrimp,24,A,400846.94
USA,Salmon,37,A,279496.52
China,Soft Shell Crab,29,A,275765.18
USA,Freshwater Prawn,14,B,142825.19
India,Rohu,1,C,30255.02
China,King Prawn,13,B,69184.08
USA,Black Tiger Shrimp,46,B,66276.51
EU,Soft Shell Crab,34,B,382707.69
India,Trout,13,A,351663.72
India,Blue Swimmer Crab,46,A,183488.81
EU,Barramundi,28,B,66007.12
Japan,Black Tiger Shrimp,3,A,52825.73
USA,King Prawn,12,A,283294.27
Japan,Salmon,21,C,487831.77
USA,Snapper,43,B,308761.48
USA,Rohu,8,B,494088.36
USA,Dungeness Crab,50,B,46755.17
India,Grouper,3,A,332077.83
China,Rohu,8,A,60833.52
Japan,Snapper,9,A,201731.35
EU,Blue Swimmer Crab,22,A,199838.32
Japan,Cod,6,A,167561.87
EU,Tiger Prawn,28,C,41003.33
India,Seabass,23,B,362715.95
USA,Seabass,4,C,262547.07
Japan,Mud Crab,50,A,250939.4
Japan,Barramundi,39,A,39566.8
USA,Trout,18,A,140919.8
China,Grouper,20,C,210094.42
China,King Prawn,32,A,157289.89
EU,Milkfish,9,B,275378.63
EU,Blue Swimmer Crab,20,B,31724.99
China,Black Tiger Shrimp,29,B,199600.22
USA,Tiger Prawn,13,B,67866.87
USA,Black Tiger Shrimp,11,A,197226.37
China,King Crab,42,A,237251.24
China,Tuna,3,B,156261.36
India,Carp,21,A,141642.05
India,Rohu,46,A,172246.24
India,Trout,31,A,367652.53
China,Pangasius,20,A,115543.07
EU,Rohu,27,C,163298.17
China,Tiger Prawn,10,A,23794.95
EU,Freshwater Prawn,30,C,12123.64
India,Tilapia,43,B,252471.25
India,Tiger Prawn,7,A,416365.0
EU,Banana Prawn,10,B,20655.95
China,Rohu,6,A,209625.02
India,Cod,31,C,129088.78
India,Dungeness Crab,31,A,77344.1
EU,Catfish,30,C,329836.8
China,King Prawn,47,A,396267.29
China,Seabass,35,A,362879.14
EU,Snapper,17,C,480357.49
USA,Dungeness Crab,5,A,400024.06
Japan,Vannamei,22,C,295277.57
India,Black Tiger Shrimp,18,A,59112.2
India,Carp,16,B,463093.92
USA,Blue Swimmer Crab,36,B,296404.96
EU,Milkfish,18,A,157201.86
EU,Rohu,22,B,204171.94
Japan,Snapper,16,A,386780.71
India,Soft Shell Crab,23,B,45721.31
China,Pangasius,45,B,257046.05
India,King Prawn,16,B,434276.63
India,Tuna,32,A,225760.86
Japan,Barramundi,34,A,66861.7
Japan,Freshwater Prawn,47,A,415978.07
India,Salmon,42,C,264081.3
China,Soft Shell Crab,30,C,113249.1
India,Freshwater Prawn,18,A,451433.42
EU,Tuna,2,B,464862.33
Japan,Snapper,22,B,216232.72
India,Catfish,11,A,402182.37
EU,Mud Crab,43,B,111361.77
USA,Freshwater Prawn,18,B,19668.73
EU,Barramundi,36,B,465752.4
USA,Snapper,10,A,12289.23
USA,Mud Crab,10,A,127833.23
USA,Pangasius,10,C,175711.01
USA,Pangasius,32,B,474442.54
Japan,Whiteleg Shrimp,7,B,234988.8
Japan,Dungeness Crab,1,C,252522.66
EU,Salmon,16,A,135538.16
USA,Black Tiger Shrimp,31,A,22074.82
India,Seabass,8,C,15359.49
Japan,Cod,5,C,204670.53
India,Snapper,32,B,25611.52
China,Grouper,39,C,40558.73
EU,Blue Swimmer Crab,1,C,421048.65
EU,Whiteleg Shrimp,48,A,285522.94
USA,King Prawn,23,A,287831.79
China,Blue Swimmer Crab,13,C,20045.89
EU,Rohu,32,A,22310.45
Japan,Milkfish,9,B,113763.08
India,Black Tiger Shrimp,33,A,60358.75
Japan,Mud Crab,49,B,172892.5
Japan,King Crab,42,C,65408.0
USA,Trout,8,B,86003.75
India,Seabass,37,B,46033.19
China,Seabass,11,A,182275.03
USA,Vannamei,49,C,91629.77
USA,Whiteleg Shrimp,34,B,439955.94
India,King Crab,6,A,359268.94
EU,Rohu,4,C,25071.19
USA,Grouper,36,C,454539.58
EU,King Crab,4,A,444283.66
China,Dungeness Crab,6,C,446834.87
India,Whiteleg Shrimp,8,B,100301.75
China,Pangasius,40,A,138101.61
EU,Tuna,46,C,121114.06
USA,Cod,48,A,32400.02
India,Rohu,23,B,160580.24
USA,Blue Swimmer Crab,37,A,27906.55
India,Barramundi,11,A,348364.77
Japan,Milkfish,37,A,160771.99
Japan,Rohu,16,C,231890.77
EU,Pangasius,21,C,126482.37
India,Snow Crab,6,B,311239.97
China,Black Tiger Shrimp,28,A,354481.26
China,King Prawn,32,A,83199.72
China,Tuna,11,C,17831.11
EU,King Crab,30,A,392759.24
USA,Pangasius,27,B,383584.51
EU,Rohu,1,A,123383.39
USA,King Crab,18,A,289491.43
India,Salmon,25,A,478685.92
India,Dungeness Crab,2,C,41183.41
EU,Tuna,45,A,418320.03
Japan,Pangasius,20,A,468443.68
USA,Soft Shell Crab,31,C,378280.06
EU,Black Tiger Shrimp,6,B,167313.39
USA,Whiteleg Shrimp,11,C,288480.17
India,Whiteleg Shrimp,26,B,182702.55
India,Dungeness Crab,50,C,413498.68
USA,Mud Crab,16,B,77776.68
EU,Grouper,17,A,110885.32
EU,Catfish,11,A,444991.76
USA,Grouper,32,C,107899.9
USA,Banana Prawn,43,A,139253.25
USA,Vannamei,8,B,260519.2
China,Barramundi,1,C,52681.2
India,Tilapia,11,C,86464.47
USA,Soft Shell Crab,22,C,107299.7
China,Cod,29,A,101900.21
EU,Pangasius,39,C,433592.65
EU,Trout,7,A,281619.04
Japan,Barramundi,3,B,21847.08
Japan,Tuna,22,A,384966.32
EU,King Prawn,24,B,100070.92
China,Rohu,50,C,281173.78
India,Seabass,32,A,371526.1
Japan,Catfish,28,C,78392.44
EU,Banana Prawn,25,A,246491.42
EU,Carp,3,A,162154.91
China,Black Tiger Shrimp,37,C,56589.88
USA,Blue Swimmer Crab,17,B,270874.43
China,Blue Swimmer Crab,5,A,278361.49
Japan,King Prawn,2,B,63447.74
USA,Snapper,31,B,190355.37
China,Pangasius,47,B,469628.4
Japan,Snow Crab,28,A,349960.88
Japan,King Crab,32,B,13735.21
India,Blue Swimmer Crab,2,A,484065.71
China,Vannamei,29,C,88771.54
EU,Banana Prawn,2,B,277403.03
Japan,Seabass,4,B,165088.37
Japan,Soft Shell Crab,26,B,455692.16
USA,Snow Crab,41,A,366503.1
China,Trout,29,B,212022.55
USA,Catfish,34,A,126360.4
China,Cod,32,B,293039.95
Japan,Carp,4,B,193631.74
EU,Tilapia,27,C,25657.69
India,Blue Swimmer Crab,6,B,219944.61
China,Salmon,32,A,419398.75
EU,Milkfish,44,B,455873.02
Japan,Cod,41,B,346355.95
USA,Whiteleg Shrimp,24,C,112960.99
India,Cod,5,B,440775.61
China,Catfish,19,A,208367.34
India,Mud Crab,48,A,442421.74
USA,Snapper,42,C,147679.38
India,Black Tiger Shrimp,15,A,110437.6
Japan,Seabass,23,A,90896.67
China,Banana Prawn,13,C,42901.07
Japan,Banana Prawn,32,B,291273.17
USA,Catfish,15,B,76140.78
EU,Grouper,10,C,92055.05
India,Tuna,37,A,389825.28
EU,Dungeness Crab,6,C,308496.24
EU,Banana Prawn,42,B,251451.93
China,Snapper,1,C,372097.61
EU,Pangasius,32,B,199526.5
Japan,Vannamei,1,B,103844.96
Japan,Catfish,9,B,340446.9
EU,Vannamei,10,B,345507.27
EU,Carp,24,A,38607.09
India,Dungeness Crab,3,C,56862.09
India,Banana Prawn,12,A,389503.82
EU,Grouper,34,C,221282.68
China,Trout,4,C,295715.53
India,Carp,7,C,321130.99
USA,Whiteleg Shrimp,32,B,105919.73
India,King Prawn,21,B,162916.72
China,Whiteleg Shrimp,36,B,172559.42
China,Grouper,14,A,68120.42
EU,Salmon,32,A,243030.31
China,Pangasius,39,B,382858.07
USA,Banana Prawn,20,C,121921.25
USA,Tuna,18,A,38200.69
India,Snow Crab,43,B,455928.51
EU,Rohu,48,B,150121.12
EU,Vannamei,45,C,232249.67
India,Vannamei,24,C,457714.66
India,Freshwater Prawn,35,B,317889.77
India,King Prawn,47,B,333764.0
EU,Salmon,28,B,230249.97
Japan,Dungeness Crab,1,B,482885.52
USA,Banana Prawn,46,B,171267.68
India,Blue Swimmer Crab,19,A,434098.69
India,Soft Shell Crab,22,B,208568.43
China,Catfish,8,C,176564.99
Japan,Trout,35,A,100844.71
India,Vannamei,4,B,349175.22
EU,Tiger Prawn,49,A,440655.08
USA,Snow Crab,17,B,74090.65
EU,Seabass,2,C,50543.79
China,Trout,10,A,390003.95
USA,Vannamei,19,B,222495.78
India,Vannamei,34,B,172060.63
USA,Cod,37,B,302144.5
EU,Blue Swimmer Crab,24,C,137089.58
USA,Trout,3,A,161267.98
EU,Salmon,36,C,352900.09
China,Milkfish,41,B,149352.79
Japan,Carp,5,C,46162.11
Japan,King Prawn,32,C,450292.78
EU,Salmon,30,C,61099.86
India,Snapper,48,B,296563.94
India,Tiger Prawn,4,B,302209.28
China,Tuna,40,C,490232.03
India,Milkfish,13,B,27198.22
Japan,Carp,33,A,50043.16
India,Dungeness Crab,16,A,367744.47
India,Black Tiger Shrimp,49,A,141539.55
India,Freshwater Prawn,7,A,144219.29
Japan,Soft Shell Crab,28,B,444077.7
India,Cod,9,B,380822.94
India,Salmon,42,C,290325.66
Japan,Tuna,24,C,357575.19
EU,Dungeness Crab,38,A,58961.45
EU,Soft Shell Crab,17,A,484854.17
China,Cod,11,A,372693.36
USA,Mud Crab,24,A,181133.09
EU,Salmon,24,C,326511.3
Japan,King Prawn,25,C,371028.73
India,Salmon,35,B,153749.64
Japan,Barramundi,29,C,499198.87
India,Trout,44,B,174449.01
Japan,Blue Swimmer Crab,6,A,139395.04
Japan,Blue Swimmer Crab,21,A,119576.27
Japan,Grouper,17,A,321246.25
USA,Mud Crab,12,C,330034.1
USA,Milkfish,23,A,256991.72
Japan,Freshwater Prawn,16,A,291750.53
USA,Catfish,44,A,403386.87
USA,Tilapia,23,B,234370.84
India,Pangasius,7,B,49149.74
EU,Black Tiger Shrimp,11,C,47080.94
USA,Milkfish,50,A,451243.22
EU,Banana Prawn,49,A,200467.32
USA,Tilapia,34,C,470742.5
EU,Snow Crab,44,B,418565.59
Japan,Salmon,18,B,55034.53
Japan,Catfish,22,A,345334.61
USA,Freshwater Prawn,36,A,427148.8
India,Salmon,46,A,325062.63
EU,Salmon,50,C,283929.71
USA,Catfish,11,A,469714.61
Japan,Whiteleg Shrimp,7,C,481166.4
